family,raw_parameter,note,baseline_r2,baseline_mae,ablation_r2,ablation_mae,delta_r2,delta_mae,removed_features,retained_feature_count
Velocity,v_inf,Removes encounter speed and any derived features that explicitly depend on velocity.,0.9358011328886225,0.026137083043237714,-0.06493861578018034,0.11969444392603666,-1.0007397486688028,0.09355736088279895,['v_inf_kms'],6
Periapsis,periapsis,Removes the direct closest-approach variable and any derived features that depend on periapsis.,0.9358011328886225,0.026137083043237714,0.8356132265194329,0.044567949637484026,-0.10018790636918962,0.018430866594246312,['periapsis_Rm'],6
Spin,spin,"Removes spin magnitude, spin axis, and any spin-derived helper features.",0.9358011328886225,0.026137083043237714,0.8633288517670759,0.0375917654560956,-0.07247228112154669,0.011454682412857884,"['spin_period_hr', 'spin_axis']",5
