sim_id,fragment_id,fragment_mass_kg,mass_ratio,semi_major_axis_a,eccentricity_e,inclination_i,apoapsis_Rm,periapsis_Rm
Ma_xp_A2000_n70_r16_v00,0,2.2966174226580156e+19,0.22974536091310457,-93315628.70072229,1.0744060436448744,0.0007807390048806687,inf,2.0484575134547374
Ma_xp_A2000_n70_r16_v00,1,8.378225796586828e+18,0.08381276265075824,1271380208.7432039,0.9960980661840892,0.0020270199262165866,748.7238755146874,1.463590921780433
Ma_xp_A2000_n70_r16_v00,2,8.01490828228249e+18,0.08017826468751904,-502126719.26303416,1.0105103972176652,0.000820922340805876,inf,1.557029435921983
Ma_xp_A2000_n70_r16_v00,3,7.580021928871288e+18,0.07582781775478589,-112531557.34961124,1.055244157310787,0.0012444098696089364,inf,1.8341085872989416
Ma_xp_A2000_n70_r16_v00,4,4.92987661143052e+18,0.049316715538948216,-230699006.50391126,1.025631362029803,0.0010704411596952046,inf,1.74454337088586
Ma_xp_A2000_n70_r16_v00,5,4.921354861953128e+18,0.04923146701692715,-369759542.1033957,1.015475868281105,0.0019191105333875424,inf,1.6882578460757698
Ma_xp_A2000_n70_r16_v00,6,4.217028803521032e+18,0.04218564201801605,224946342.14717537,0.9786353590586351,0.0003146396254506707,131.31340506366806,1.4178781032741774
Ma_xp_A2000_n70_r16_v00,7,4.0201080978274734e+18,0.040215717983020746,97810452.33813192,0.9543030449442286,0.0014095536577993758,56.395121649737,1.3186723246733405
Ma_xp_A2000_n70_r16_v00,8,3.349285084669437e+18,0.033505045419697656,158299633.0103059,0.9703042770764173,0.0072673052333705485,92.01901282780143,1.3868777226077205
Ma_xp_A2000_n70_r16_v00,9,2.696802143267036e+18,0.026977840349179442,124899558.32136321,0.9628028778551938,0.004266795107946377,72.32724959906014,1.3706753582274944
Ma_xp_A2000_n70_r16_v00,10,2.4937152936426834e+18,0.02494623242426647,74166846.1614218,0.9437393553085034,0.00030211163805776063,42.53164706979406,1.231059029289465
Ma_xp_A2000_n70_r16_v00,11,2.113908540512174e+18,0.02114678203630358,-150056459.83201838,1.0396367267199862,0.00326944789573482,inf,1.7547564215755416
Ma_xp_A2000_n70_r16_v00,12,2.0452891570897055e+18,0.020460338362468522,40743981.09961427,0.909044603906297,0.003484852505707663,22.94795021681038,1.0933426580173367
Ma_xp_A2000_n70_r16_v00,13,1.9747595557239885e+18,0.01975478555419668,64344377.99188568,0.9338587805715756,0.0015828210460738991,36.711296757641115,1.255588028838116
Ma_xp_A2000_n70_r16_v00,14,1.8838608946318275e+18,0.018845467985972073,59909363.65906487,0.93343068598348,0.001784927494080943,34.17335951502568,1.1766116660127397
Ma_xp_A2000_n70_r16_v00,15,1.5646961380727112e+18,0.015652658358082376,48649570.71373916,0.9193446450095348,0.0001886607950227358,27.548397413019014,1.157648147529243
Ma_xp_A2000_n70_r16_v00,16,1.5037968064416061e+18,0.01504344331046848,76686695.0041882,0.9418809456456646,0.002879582334453974,43.93463101140984,1.3149308733449638
Ma_xp_A2000_n70_r16_v00,17,1.432138889814075e+18,0.014326603241441239,368995066.9101469,0.9869853728103316,0.0014078711894463516,216.31149154436687,1.4168264436236335
Ma_xp_A2000_n70_r16_v00,18,1.3783063748227569e+18,0.01378808209013749,50977789.19287539,0.9192942666628547,0.0021040604980471296,28.866021101942287,1.2138073051238847
Ma_xp_A2000_n70_r16_v00,19,1.293148265062635e+18,0.012936190936282461,120678953.63504186,0.9638495509418138,0.0034526727654045947,69.92043336902343,1.287092009375659
Ma_xp_A2000_n70_r16_v00,20,1.1341053006582427e+18,0.011345182225067169,82133929.03712334,0.9456940292222452,0.0016714400179533636,47.14780803189098,1.315935314988112
Ma_xp_A2000_n70_r16_v00,21,1.1123505906102711e+18,0.01112755591681829,54795712.54549106,0.9259975243714835,0.0036789382823802933,31.136275765979416,1.1963470665864868
Ma_xp_A2000_n70_r16_v00,22,7.980653026833887e+17,0.007983558741142743,43596729.60940544,0.9088351286248476,0.005157397498864452,24.55198966561208,1.1725889503521891
Ma_xp_A2000_n70_r16_v00,23,6.455052022832823e+17,0.006457402273741374,42865369.99852272,0.9119287253603666,0.0019711649635797113,24.1792394817454,1.1137948882340745
Ma_xp_A2000_n70_r16_v00,24,6.315893140542344e+17,0.006318192724424762,59361553.82960422,0.9258512553914117,0.005080325758539387,33.72813776802719,1.2985940977962214
Ma_xp_A2000_n70_r16_v00,25,4.137155959987306e+17,0.0041386622769804746,46065592.25237348,0.9155344003266855,0.00811831057788294,26.033405113097462,1.1479444973899142
Ma_xp_A2000_n70_r16_v00,26,2.832368232223845e+17,0.0028333994827834984,85147038.92033009,0.947054530446565,0.0016171563706654185,48.91161760847874,1.3300339155396033
Ma_xp_A2000_n70_r16_v00,27,2.0233463944980982e+17,0.0020240830844093743,-97562819.14676386,1.0675934786809669,0.0034282881840668467,inf,1.9455997451104323
Ma_xp_A2000_n70_r16_v00,28,2.0128550420636806e+17,0.002013587912128036,147332132.48388255,0.969474418667938,0.0009252377738894884,85.60757220085623,1.3268620719760684
Ma_xp_A2000_n70_r16_v00,29,1.7375065281717024e+17,0.0017381391452725415,3601309038.5912952,0.9985181132303473,0.009518977855439436,2123.4050287549408,1.5744895169550055
Ma_xp_A2000_n70_r16_v00,30,1.7155340730732054e+17,0.0017161586901172866,-1171397915.3892183,1.0044125602127931,0.0011687419053109161,inf,1.5249635152073384
Ma_xp_A2000_n70_r16_v00,31,1.5631125377052515e+17,0.0015636816588601107,-3695152381.559806,1.0014214934265229,0.01068023888074247,inf,1.5496783656549893
Ma_xp_A2000_n70_r16_v00,32,1.4785878680921136e+17,0.0014791262142538587,250867455.1674832,0.9827169867381926,0.0006599609538127077,146.74706144869478,1.279169657653187
Ma_xp_A2000_n70_r16_v00,33,1.4774991428394854e+17,0.0014780370926020217,614520578.043674,0.9909703556412749,0.011462974810492153,360.96540900324396,1.6370857857656156
