mass_code,resolution_code,periapsis_code,velocity_code,timestep,fof_linking_length,fragment_count_min_particles,largest_fragment_particle_count,largest_fragment_mass_kg,fragment_mass_fraction
A1900,n65,r13,v00,89000,0.002,375.0,121028.0,3.831191246914436e+17,1.0
A1900,n65,r13,v00,90000,0.002,323.0,156702.0,4.8833534835267334e+17,1.0
A1900,n65,r14,v00,89000,0.002,399.0,90409.0,2.8656249415360912e+17,1.0
A1900,n65,r14,v00,90000,0.002,297.5,180118.5,5.613916524721494e+17,1.0
A1900,n65,r14,v02,90000,0.002,245.0,352051.0,1.09051925587775e+18,1.0
A1900,n65,r14,v04,89000,0.002,228.0,262043.0,8.117086685271648e+17,1.0
A1900,n65,r14,v06,90000,0.002,230.0,374568.0,1.160268512580747e+18,1.0
A1900,n65,r15,v00,90000,0.002,306.3333333333333,172381.33333333334,5.3868338756929914e+17,1.0
A1900,n65,r16,v00,90000,0.0019,147.0,650871.0,2.0161480769281815e+18,1.0
A1900,n65,r16,v00,90000,0.002,283.5,244987.83333333334,7.672923206677774e+17,1.0
A1900,n65,r16,v02,89000,0.002,325.0,138582.0,4.386856602409407e+17,1.0
A1900,n65,r16,v02,90000,0.002,276.0,392147.5,1.2185206455244887e+18,1.0
A1900,n65,r16,v04,90000,0.002,279.0,293728.0,9.149890908386423e+17,1.0
A1900,n65,r16,v06,89000,0.002,244.0,391591.0,1.2168276669752914e+18,1.0
A1900,n65,r16,v06,90000,0.002,272.0,127310.0,4.030034178125801e+17,1.0
A1900,n65,r17,v00,90000,0.002,255.0,412547.0,1.2836814854367619e+18,1.0
A1900,n65,r18,v00,89000,0.002,291.0,126542.0,4.007781228352223e+17,1.0
A1900,n65,r18,v00,90000,0.002,36.0,2418669.0,7.492108748014193e+18,1.0
A1900,n65,r18,v02,90000,0.002,42.0,2379761.0,7.371586667826815e+18,1.0
A1900,n65,r18,v04,90000,0.002,16.0,2367365.0,7.333188605726994e+18,1.0
A1900,n65,r18,v06,89000,0.002,4.0,2246217.0,6.957918520786966e+18,1.0
A1900,n65,r19,v00,89000,0.002,240.0,284818.0,9.016033394438386e+17,1.0
A1900,n65,r19,v00,90000,0.002,181.0,1128427.5,3.500035400300373e+18,1.0
A1900,n65,r20,v00,89000,0.002,49.0,2689612.6666666665,8.439246698107665e+18,1.0
A1900,n65,r20,v00,90000,0.002,266.0,306860.6666666667,9.703783536135156e+17,1.0
A1900,n65,r20,v02,89000,0.002,62.0,2947334.0,9.129709503676136e+18,1.0
A1900,n65,r20,v02,90000,0.002,245.5,363375.0,1.150533764994754e+18,1.0
A1900,n65,r20,v04,89000,0.002,158.0,2986289.0,9.250377093130043e+18,1.0
A1900,n65,r20,v04,90000,0.002,241.0,417881.5,1.323052692502896e+18,1.0
A1900,n65,r20,v06,89000,0.002,289.0,123093.0,3.901583335365235e+17,1.0
A1900,n65,r20,v06,90000,0.002,168.5,1880228.0,5.849149659215835e+18,1.0
A1900,n65,r22,v00,89000,0.002,1.0,3227694.0,9.998157260435763e+18,1.0
A1900,n65,r22,v00,90000,0.002,133.0,1240606.0,3.927511600252078e+18,1.0
A1900,n65,r24,v00,89000,0.002,100.5,1828420.0,5.679193892934786e+18,1.0
A1900,n65,r24,v00,90000,0.002,175.0,3082655.0,9.75826555329218e+18,1.0
A1900,n65,r26,v00,89000,0.002,45.0,2190145.0,6.93547680525185e+18,1.0
A1900,n65,r26,v00,90000,0.002,1.0,3227694.0,9.99815726043551e+18,1.0
A1900,n70,r12,v00,90000,0.001,1189.0,522175.0,5.169198519049097e+17,1.0
A1900,n70,r16,v00,89000,0.001,360.0,2033819.0,2.013351098375887e+18,1.0
A1950,n65,r12,v00,90000,0.002,272.5,197375.0,1.9333877007609283e+18,1.0
A1950,n65,r12,v00,90000,0.0027,273.0,197384.0,1.9334758599470423e+18,1.0
A1950,n65,r12,v00,90000,0.003,272.0,197385.0,1.9334856553936143e+18,1.0
A1950,n65,r12,v00,90000,0.0034,273.0,197387.0,1.9335052464914555e+18,1.0
A1950,n65,r16,v00,90000,0.002,200.0,775432.0,7.595743705076336e+18,1.0
A1950,n65,r16,v00,90000,0.0027,204.0,775624.0,7.597624441732158e+18,1.0
A1950,n65,r16,v00,90000,0.003,205.0,775661.0,7.597986875395968e+18,1.0
A1950,n65,r16,v00,90000,0.0034,204.0,775700.0,7.598368900128128e+18,1.0
A2000,n50,r12,v00,90000,0.0126,57.0,10630.0,9.78341116364349e+18,1.0
A2000,n50,r14,v00,90000,0.0126,52.0,15068.0,1.3867951877076711e+19,1.0
A2000,n50,r16,v00,90000,0.0126,29.0,36883.0,3.3945617354481226e+19,1.0
A2000,n55,r12,v00,90000,0.0086,89.0,29668.0,9.285570449297046e+18,1.0
A2000,n55,r14,v00,90000,0.0086,73.0,40033.0,1.252955378489149e+19,1.0
A2000,n55,r16,v00,90000,0.0086,60.0,103736.0,3.246734465802478e+19,1.0
A2000,n60,r12,v00,90000,0.0059,153.0,79310.0,7.905593972047944e+18,1.0
A2000,n60,r14,v00,90000,0.0059,131.0,105973.0,1.0563338874948663e+19,1.0
A2000,n60,r16,v00,90000,0.0059,87.0,276815.0,2.7592805693981123e+19,1.0
A2000,n65,r11,v00,90000,0.001,0.0,0.0,0.0,
A2000,n65,r11,v00,90000,0.002,6441.0,12989.0,4.02273544912429e+17,1.0
A2000,n65,r11,v00,90000,0.003,359.0,155562.0,4.817804299342573e+18,1.0
A2000,n65,r11,v00,90000,0.0035,360.0,155577.0,4.818268855673477e+18,1.0
A2000,n65,r11,v00,90000,0.004,384.6666666666667,114375.66666666667,3.5798366146064205e+18,1.0
A2000,n65,r11,v00,90000,0.0045,361.0,155580.0,4.818361766432426e+18,1.0
A2000,n65,r11,v00,90000,0.005,362.0,155581.0,4.818392736894732e+18,1.0
A2000,n65,r11,v00,90000,0.006,361.0,155581.0,4.818392736894732e+18,1.0
A2000,n65,r11,v00,90000,0.008,361.0,155581.0,4.818392736894732e+18,1.0
A2000,n65,r12,v00,66000,0.004,168.0,989636.0,3.064934465061656e+19,1.0
A2000,n65,r12,v00,72000,0.004,377.0,278224.0,8.616685322347806e+18,1.0
A2000,n65,r12,v00,78000,0.004,505.0,175060.0,5.421658088072429e+18,1.0
A2000,n65,r12,v00,84000,0.004,427.0,209096.0,6.475770464900222e+18,1.0
A2000,n65,r12,v00,90000,0.001,0.0,0.0,0.0,
A2000,n65,r12,v00,90000,0.002,6136.0,7126.0,2.2069455869049853e+17,1.0
A2000,n65,r12,v00,90000,0.003,330.0,211464.0,6.549108175575374e+18,1.0
A2000,n65,r12,v00,90000,0.0035,332.0,211504.0,6.550346989130583e+18,1.0
A2000,n65,r12,v00,90000,0.004,877.5714285714286,655661.0952380953,2.0711111165627683e+19,1.0
A2000,n65,r12,v00,90000,0.0045,336.0,211535.0,6.551307069558938e+18,1.0
