parameter,parameter_value,n_runs,mean_bound_mass_fraction,median_bound_mass_fraction,mean_bound_fragment_count,zero_bound_run_share
mass_code,A1800,10,0.0,0.0,0.0,1.0
mass_code,A1850,8,0.0,0.0,0.0,1.0
mass_code,A1900,81,0.012489803127431491,0.0,9.777777777777779,0.6172839506172839
mass_code,A1950,10,0.04576682758056125,0.04576609570546515,20.0,0.0
mass_code,A2000,271,0.09816934320735927,0.0893684418439822,117.60885608856088,0.4059040590405904
mass_code,A2000c30,15,0.08272724534754028,0.1062214626224432,48.0,0.26666666666666666
mass_code,A2050,6,0.24446254024745717,0.2444632441228799,351.3333333333333,0.0
mass_code,A2100,6,0.2356618411051492,0.23568210233520875,631.1666666666666,0.0
resolution_code,n50,5,0.11209361271866354,0.1598211404601111,9.0,0.4
resolution_code,n55,5,0.1097338640347428,0.1412764517311525,12.2,0.4
resolution_code,n60,23,0.023690679673755665,0.0,5.608695652173913,0.8260869565217391
resolution_code,n65,361,0.07658720779664763,0.0203748591371825,92.37396121883657,0.4404432132963989
resolution_code,n70,13,0.2225295596767281,0.2178225889197787,453.61538461538464,0.0
periapsis_code,r11,12,0.18630002004004168,0.19951698543750757,230.58333333333334,0.08333333333333333
periapsis_code,r12,116,0.09239056045233413,0.0291110755401807,125.88793103448276,0.3620689655172414
periapsis_code,r13,13,0.1731419978576903,0.2030621734199185,199.53846153846155,0.15384615384615385
periapsis_code,r14,24,0.12835889324504293,0.17713603008141743,115.125,0.25
periapsis_code,r15,14,0.1392201428588444,0.1603670994235262,145.21428571428572,0.14285714285714285
periapsis_code,r16,101,0.07813041287932178,0.048115436470505,122.11881188118812,0.3465346534653465
periapsis_code,r17,14,0.09211167686820868,0.0893733698222812,61.285714285714285,0.14285714285714285
periapsis_code,r18,20,0.024037900363974112,0.0,12.5,0.85
periapsis_code,r19,13,0.03527194654059978,0.0,19.76923076923077,0.7692307692307693
periapsis_code,r20,47,0.030161451993509746,0.0,17.617021276595743,0.7446808510638298
periapsis_code,r22,14,0.014865040540868164,0.0,8.0,0.9285714285714286
periapsis_code,r24,12,0.011901732409878199,0.0,6.166666666666667,0.9166666666666666
periapsis_code,r26,3,0.0242981847284114,0.0,2.0,0.6666666666666666
periapsis_code,r28,2,0.0,0.0,0.0,1.0
periapsis_code,r30,2,0.0,0.0,0.0,1.0
velocity_code,v00,292,0.0910930918327389,0.049681868988862496,119.7431506849315,0.4212328767123288
velocity_code,v02,20,0.10796334976564596,0.13989913572680468,60.15,0.3
velocity_code,v04,21,0.07334876898414826,0.0160688431009858,42.38095238095238,0.38095238095238093
velocity_code,v06,35,0.0425586297443871,4.563569091297771e-05,59.714285714285715,0.4857142857142857
velocity_code,v08,14,0.02530527441342134,0.00445922204078225,19.071428571428573,0.5
velocity_code,v10,13,0.004022266513032877,0.0,4.923076923076923,0.6923076923076923
velocity_code,v12,3,0.0,0.0,0.0,1.0
velocity_code,v14,3,0.0,0.0,0.0,1.0
velocity_code,v15,1,0.0,0.0,0.0,1.0
velocity_code,v16,3,0.0,0.0,0.0,1.0
velocity_code,v20,2,0.0,0.0,0.0,1.0
fof_linking_length,0.0001,2,0.0,0.0,0.0,1.0
fof_linking_length,0.001,13,0.0009336913601405461,0.0,0.15384615384615385,0.9230769230769231
fof_linking_length,0.0013,2,0.0,0.0,0.0,1.0
fof_linking_length,0.0014,4,0.0,0.0,0.0,1.0
fof_linking_length,0.0016,2,0.0,0.0,0.0,1.0
fof_linking_length,0.0019,4,0.0,0.0,0.0,1.0
fof_linking_length,0.002,92,0.02852699114801229,0.0,110.79347826086956,0.5652173913043478
fof_linking_length,0.0024,2,0.0,0.0,0.0,1.0
fof_linking_length,0.0027,2,0.04576722678900245,0.04576722678900245,20.0,0.0
fof_linking_length,0.003,18,0.09802356413858561,0.0903526525366552,72.83333333333333,0.3333333333333333
fof_linking_length,0.0034,2,0.0457660471296217,0.0457660471296217,20.0,0.0
fof_linking_length,0.0035,12,0.09714225560073673,0.11565131360907449,46.75,0.4166666666666667
fof_linking_length,0.004,185,0.09861204299154432,0.0739660373858582,109.92972972972973,0.372972972972973
fof_linking_length,0.0044,2,0.23575185571822221,0.23575185571822221,637.0,0.0
fof_linking_length,0.0045,12,0.09714845239097049,0.1156554525526548,47.25,0.4166666666666667
fof_linking_length,0.005,14,0.11819898709968447,0.15115461917652362,90.71428571428571,0.35714285714285715
fof_linking_length,0.0059,5,0.19955982883811355,0.2059089797528049,278.6,0.0
fof_linking_length,0.006,14,0.08327348150109391,0.0446901785184823,40.714285714285715,0.5
fof_linking_length,0.0074,2,0.2355890929712479,0.2355890929712479,624.0,0.0
fof_linking_length,0.008,12,0.0971523329946918,0.11565694583157796,47.25,0.4166666666666667
fof_linking_length,0.0086,3,0.18288977339123802,0.1957042593626107,20.333333333333332,0.0
fof_linking_length,0.0126,3,0.18682268786443923,0.1761447051328205,15.0,0.0
