subset,count,min_eccentricity_proxy,p25_eccentricity_proxy,median_eccentricity_proxy,mean_eccentricity_proxy,p75_eccentricity_proxy,max_eccentricity_proxy
all_runs,489,1.0,1.0,1.0,1.0208091884823514,1.0050650538416475,1.8547278357780135
fragmented_proxy,446,1.0,1.0,1.0,1.0227132459266703,1.0063313173020594,1.8547278357780135
moderate_fragmentation,432,1.0,1.0,1.0,1.0231122393179344,1.0063313173020594,1.8547278357780135
strong_fragmentation,376,1.0,1.0,1.0,1.0213303090222972,1.0151951615249424,1.3798790381235615
bmf_ge_0p1,148,1.0,1.0,1.0,1.003332497417773,1.0,1.0569818557185342
