mass_code,mass_value,special_case_code,spin_code,spin_value,spin_axis,has_explicit_spin,resolution_code,resolution_value,periapsis_code,periapsis_value,velocity_code,velocity_value,timestep,rows,unique_simulation_ids,unique_fof_linking_lengths,min_fof_linking_length,max_fof_linking_length,min_largest_fragment_particle_count,max_largest_fragment_particle_count,scenario_label
A1900,1900,,,,,False,n50,50,r12,12,v00,0,56000,1,1,1,0.006,0.006,6909,6909,A1900_n50_r12_v00_t56000
A1900,1900,,,,,False,n50,50,r12,12,v00,0,58000,1,1,1,0.006,0.006,7064,7064,A1900_n50_r12_v00_t58000
A1900,1900,,,,,False,n50,50,r12,12,v00,0,60000,1,1,1,0.006,0.006,8493,8493,A1900_n50_r12_v00_t60000
A1900,1900,,,,,False,n50,50,r12,12,v00,0,62000,1,1,1,0.006,0.006,8491,8491,A1900_n50_r12_v00_t62000
A1900,1900,,,,,False,n50,50,r12,12,v00,0,64000,1,1,1,0.006,0.006,8495,8495,A1900_n50_r12_v00_t64000
A1900,1900,,,,,False,n50,50,r12,12,v00,0,66000,1,1,1,0.006,0.006,8497,8497,A1900_n50_r12_v00_t66000
A1900,1900,,,,,False,n50,50,r12,12,v00,0,68000,1,1,1,0.006,0.006,8703,8703,A1900_n50_r12_v00_t68000
A1900,1900,,,,,False,n50,50,r12,12,v00,0,70000,1,1,1,0.006,0.006,8703,8703,A1900_n50_r12_v00_t70000
A1900,1900,,,,,False,n50,50,r12,12,v00,0,72000,1,1,1,0.006,0.006,8703,8703,A1900_n50_r12_v00_t72000
A1900,1900,,,,,False,n50,50,r12,12,v00,0,90000,1,1,1,0.006,0.006,10370,10370,A1900_n50_r12_v00_t90000
A1900,1900,,,,,False,n55,55,r12,12,v00,0,72000,1,1,1,0.004,0.004,19062,19062,A1900_n55_r12_v00_t72000
A1900,1900,,,,,False,n55,55,r12,12,v00,0,90000,1,1,1,0.004,0.004,28826,28826,A1900_n55_r12_v00_t90000
A1900,1900,,,,,False,n60,60,r12,12,v00,0,72000,1,1,1,0.003,0.003,63886,63886,A1900_n60_r12_v00_t72000
A1900,1900,,,,,False,n60,60,r12,12,v00,0,90000,1,1,1,0.003,0.003,64224,64224,A1900_n60_r12_v00_t90000
A1900,1900,,,,,False,n70,70,r12,12,v00,0,90000,1,1,1,0.001,0.001,522175,522175,A1900_n70_r12_v00_t90000
A1900,1900,,s030z,30.0,z,True,n65,65,r12,12,v02,2,89000,1,1,1,0.002,0.002,87114,87114,A1900_n65_r12_v02_t89000
A1900,1900,,s047z,47.0,z,True,n65,65,r12,12,v02,2,89000,1,1,1,0.002,0.002,113949,113949,A1900_n65_r12_v02_t89000
A1900,1900,,,,,False,n65,65,r12,12,v02,2,90000,1,1,1,0.002,0.002,202858,202858,A1900_n65_r12_v02_t90000
A1900,1900,,s030z,30.0,z,True,n65,65,r12,12,v04,4,90000,1,1,1,0.002,0.002,103818,103818,A1900_n65_r12_v04_t90000
A1900,1900,,s047z,47.0,z,True,n65,65,r12,12,v04,4,90000,1,1,1,0.002,0.002,108764,108764,A1900_n65_r12_v04_t90000
A1900,1900,,,,,False,n65,65,r12,12,v04,4,90000,1,1,1,0.002,0.002,233489,233489,A1900_n65_r12_v04_t90000
A1900,1900,,s030z,30.0,z,True,n65,65,r12,12,v06,6,90000,1,1,1,0.002,0.002,98216,98216,A1900_n65_r12_v06_t90000
A1900,1900,,s047z,47.0,z,True,n65,65,r12,12,v06,6,90000,1,1,1,0.002,0.002,150426,150426,A1900_n65_r12_v06_t90000
A1900,1900,,,,,False,n65,65,r12,12,v06,6,89000,1,1,1,0.002,0.002,263211,263211,A1900_n65_r12_v06_t89000
A1900,1900,,s030z,30.0,z,True,n65,65,r12,12,v08,8,90000,1,1,1,0.002,0.002,110353,110353,A1900_n65_r12_v08_t90000
A1900,1900,,s047z,47.0,z,True,n65,65,r12,12,v08,8,90000,1,1,1,0.002,0.002,116001,116001,A1900_n65_r12_v08_t90000
A1900,1900,,,,,False,n65,65,r12,12,v08,8,90000,1,1,1,0.002,0.002,250293,250293,A1900_n65_r12_v08_t90000
A1900,1900,,s030z,30.0,z,True,n65,65,r12,12,v10,10,89000,1,1,1,0.002,0.002,151598,151598,A1900_n65_r12_v10_t89000
A1900,1900,,s047z,47.0,z,True,n65,65,r12,12,v10,10,89000,1,1,1,0.002,0.002,131608,131608,A1900_n65_r12_v10_t89000
A1900,1900,,,,,False,n65,65,r12,12,v10,10,90000,1,1,1,0.002,0.002,309332,309332,A1900_n65_r12_v10_t90000
A1900,1900,,s030z,30.0,z,True,n65,65,r12,12,v15,15,89000,1,1,1,0.002,0.002,170689,170689,A1900_n65_r12_v15_t89000
A1900,1900,,s047z,47.0,z,True,n65,65,r12,12,v15,15,90000,1,1,1,0.002,0.002,169000,169000,A1900_n65_r12_v15_t90000
A1900,1900,,,,,False,n65,65,r12,12,v15,15,89000,1,1,1,0.002,0.002,626417,626417,A1900_n65_r12_v15_t89000
A1900,1900,,s030z,30.0,z,True,n65,65,r12,12,v20,20,90000,1,1,1,0.002,0.002,156468,156468,A1900_n65_r12_v20_t90000
A1900,1900,,s047z,47.0,z,True,n65,65,r12,12,v20,20,90000,1,1,1,0.002,0.002,225088,225088,A1900_n65_r12_v20_t90000
A1900,1900,,,,,False,n65,65,r12,12,v20,20,89000,1,1,1,0.002,0.002,1517782,1517782,A1900_n65_r12_v20_t89000
A1900,1900,,,,,False,n65,65,r12,12,v25,25,75000,1,1,1,0.002,0.002,1964741,1964741,A1900_n65_r12_v25_t75000
A1900,1900,,,,,False,n65,65,r12,12,v30,30,65000,1,1,1,0.002,0.002,2195315,2195315,A1900_n65_r12_v30_t65000
A1900,1900,,s030z,30.0,z,True,n65,65,r13,13,v00,0,90000,1,1,1,0.002,0.002,81452,81452,A1900_n65_r13_v00_t90000
A1900,1900,,s047z,47.0,z,True,n65,65,r13,13,v00,0,89000,1,1,1,0.002,0.002,121028,121028,A1900_n65_r13_v00_t89000
A1900,1900,,,,,False,n65,65,r13,13,v00,0,90000,1,1,1,0.002,0.002,231952,231952,A1900_n65_r13_v00_t90000
A1900,1900,,s030z,30.0,z,True,n65,65,r14,14,v00,0,89000,1,1,1,0.002,0.002,90409,90409,A1900_n65_r14_v00_t89000
A1900,1900,,s047z,47.0,z,True,n65,65,r14,14,v00,0,90000,1,1,1,0.002,0.002,101685,101685,A1900_n65_r14_v00_t90000
A1900,1900,,,,,False,n65,65,r14,14,v00,0,90000,1,1,1,0.002,0.002,258552,258552,A1900_n65_r14_v00_t90000
A1900,1900,,,,,False,n65,65,r14,14,v02,2,90000,1,1,1,0.002,0.002,352051,352051,A1900_n65_r14_v02_t90000
A1900,1900,,,,,False,n65,65,r14,14,v04,4,89000,1,1,1,0.002,0.002,262043,262043,A1900_n65_r14_v04_t89000
A1900,1900,,,,,False,n65,65,r14,14,v06,6,90000,1,1,1,0.002,0.002,374568,374568,A1900_n65_r14_v06_t90000
A1900,1900,,s030z,30.0,z,True,n65,65,r15,15,v00,0,90000,1,1,1,0.002,0.002,103230,103230,A1900_n65_r15_v00_t90000
A1900,1900,,s047z,47.0,z,True,n65,65,r15,15,v00,0,90000,1,1,1,0.002,0.002,98692,98692,A1900_n65_r15_v00_t90000
A1900,1900,,,,,False,n65,65,r15,15,v00,0,90000,1,1,1,0.002,0.002,315222,315222,A1900_n65_r15_v00_t90000
A1900,1900,,s030z,30.0,z,True,n65,65,r16,16,v00,0,90000,1,1,1,0.002,0.002,105035,105035,A1900_n65_r16_v00_t90000
A1900,1900,,s035z,35.0,z,True,n65,65,r16,16,v00,0,90000,1,1,1,0.002,0.002,117180,117180,A1900_n65_r16_v00_t90000
A1900,1900,,s047z,47.0,z,True,n65,65,r16,16,v00,0,90000,1,1,1,0.002,0.002,111566,111566,A1900_n65_r16_v00_t90000
A1900,1900,,s086z,86.0,z,True,n65,65,r16,16,v00,0,90000,1,1,1,0.002,0.002,190988,190988,A1900_n65_r16_v00_t90000
A1900,1900,,s170z,170.0,z,True,n65,65,r16,16,v00,0,90000,1,1,1,0.002,0.002,294286,294286,A1900_n65_r16_v00_t90000
A1900,1900,,,,,False,n50,50,r16,16,v00,0,72000,1,1,1,0.006,0.006,38061,38061,A1900_n50_r16_v00_t72000
A1900,1900,,,,,False,n50,50,r16,16,v00,0,90000,1,1,1,0.006,0.006,45734,45734,A1900_n50_r16_v00_t90000
A1900,1900,,,,,False,n55,55,r16,16,v00,0,72000,1,1,1,0.004,0.004,89819,89819,A1900_n55_r16_v00_t72000
A1900,1900,,,,,False,n55,55,r16,16,v00,0,90000,1,1,1,0.004,0.004,90645,90645,A1900_n55_r16_v00_t90000
A1900,1900,,,,,False,n60,60,r16,16,v00,0,72000,1,1,1,0.003,0.003,263006,263006,A1900_n60_r16_v00_t72000
A1900,1900,,,,,False,n60,60,r16,16,v00,0,90000,1,1,1,0.003,0.003,264980,264980,A1900_n60_r16_v00_t90000
A1900,1900,,,,,False,n70,70,r16,16,v00,0,89000,1,1,1,0.001,0.001,2033819,2033819,A1900_n70_r16_v00_t89000
A1900,1900,,s030z,30.0,z,True,n65,65,r16,16,v02,2,90000,1,1,1,0.002,0.002,105501,105501,A1900_n65_r16_v02_t90000
A1900,1900,,s047z,47.0,z,True,n65,65,r16,16,v02,2,89000,1,1,1,0.002,0.002,138582,138582,A1900_n65_r16_v02_t89000
A1900,1900,,,,,False,n65,65,r16,16,v02,2,90000,1,1,1,0.002,0.002,678794,678794,A1900_n65_r16_v02_t90000
A1900,1900,,s030z,30.0,z,True,n65,65,r16,16,v04,4,90000,1,1,1,0.002,0.002,91077,91077,A1900_n65_r16_v04_t90000
A1900,1900,,s047z,47.0,z,True,n65,65,r16,16,v04,4,90000,1,1,1,0.002,0.002,130158,130158,A1900_n65_r16_v04_t90000
A1900,1900,,,,,False,n65,65,r16,16,v04,4,90000,1,1,1,0.002,0.002,659949,659949,A1900_n65_r16_v04_t90000
A1900,1900,,s030z,30.0,z,True,n65,65,r16,16,v06,6,89000,1,1,1,0.002,0.002,106353,106353,A1900_n65_r16_v06_t89000
A1900,1900,,s047z,47.0,z,True,n65,65,r16,16,v06,6,90000,1,1,1,0.002,0.002,127310,127310,A1900_n65_r16_v06_t90000
A1900,1900,,,,,False,n65,65,r16,16,v06,6,89000,1,1,1,0.002,0.002,676829,676829,A1900_n65_r16_v06_t89000
A1900,1900,,s030z,30.0,z,True,n65,65,r17,17,v00,0,90000,1,1,1,0.002,0.002,120172,120172,A1900_n65_r17_v00_t90000
A1900,1900,,s047z,47.0,z,True,n65,65,r17,17,v00,0,90000,1,1,1,0.002,0.002,127425,127425,A1900_n65_r17_v00_t90000
A1900,1900,,,,,False,n65,65,r17,17,v00,0,90000,1,1,1,0.002,0.002,990044,990044,A1900_n65_r17_v00_t90000
A1900,1900,,s030z,30.0,z,True,n65,65,r18,18,v00,0,89000,1,1,1,0.002,0.002,100014,100014,A1900_n65_r18_v00_t89000
A1900,1900,,s047z,47.0,z,True,n65,65,r18,18,v00,0,89000,1,1,1,0.002,0.002,153070,153070,A1900_n65_r18_v00_t89000
A1900,1900,,,,,False,n65,65,r18,18,v00,0,90000,1,1,1,0.002,0.002,2418669,2418669,A1900_n65_r18_v00_t90000
A1900,1900,,,,,False,n65,65,r18,18,v02,2,90000,1,1,1,0.002,0.002,2379761,2379761,A1900_n65_r18_v02_t90000
A1900,1900,,,,,False,n65,65,r18,18,v04,4,90000,1,1,1,0.002,0.002,2367365,2367365,A1900_n65_r18_v04_t90000
A1900,1900,,,,,False,n65,65,r18,18,v06,6,89000,1,1,1,0.002,0.002,2246217,2246217,A1900_n65_r18_v06_t89000
A1900,1900,,s030z,30.0,z,True,n65,65,r19,19,v00,0,90000,1,1,1,0.002,0.002,127765,127765,A1900_n65_r19_v00_t90000
A1900,1900,,s047z,47.0,z,True,n65,65,r19,19,v00,0,89000,1,1,1,0.002,0.002,284818,284818,A1900_n65_r19_v00_t89000
A1900,1900,,,,,False,n65,65,r19,19,v00,0,90000,1,1,1,0.002,0.002,2129090,2129090,A1900_n65_r19_v00_t90000
A1900,1900,,s030z,30.0,z,True,n65,65,r20,20,v00,0,90000,1,1,1,0.002,0.002,127343,127343,A1900_n65_r20_v00_t90000
A1900,1900,,s035z,35.0,z,True,n65,65,r20,20,v00,0,90000,1,1,1,0.002,0.002,140898,140898,A1900_n65_r20_v00_t90000
A1900,1900,,s047z,47.0,z,True,n65,65,r20,20,v00,0,90000,1,1,1,0.002,0.002,652341,652341,A1900_n65_r20_v00_t90000
A1900,1900,,s086z,86.0,z,True,n65,65,r20,20,v00,0,89000,1,1,1,0.002,0.002,2402965,2402965,A1900_n65_r20_v00_t89000
A1900,1900,,s170z,170.0,z,True,n65,65,r20,20,v00,0,89000,1,1,1,0.002,0.002,2747288,2747288,A1900_n65_r20_v00_t89000
A1900,1900,,,,,False,n65,65,r20,20,v00,0,89000,1,1,1,0.002,0.002,2918585,2918585,A1900_n65_r20_v00_t89000
A1900,1900,,s030z,30.0,z,True,n65,65,r20,20,v02,2,90000,1,1,1,0.002,0.002,124864,124864,A1900_n65_r20_v02_t90000
A1900,1900,,s047z,47.0,z,True,n65,65,r20,20,v02,2,90000,1,1,1,0.002,0.002,601886,601886,A1900_n65_r20_v02_t90000
A1900,1900,,,,,False,n65,65,r20,20,v02,2,89000,1,1,1,0.002,0.002,2947334,2947334,A1900_n65_r20_v02_t89000
A1900,1900,,s030z,30.0,z,True,n65,65,r20,20,v04,4,90000,1,1,1,0.002,0.002,113140,113140,A1900_n65_r20_v04_t90000
A1900,1900,,s047z,47.0,z,True,n65,65,r20,20,v04,4,90000,1,1,1,0.002,0.002,722623,722623,A1900_n65_r20_v04_t90000
A1900,1900,,,,,False,n65,65,r20,20,v04,4,89000,1,1,1,0.002,0.002,2986289,2986289,A1900_n65_r20_v04_t89000
A1900,1900,,s030z,30.0,z,True,n65,65,r20,20,v06,6,89000,1,1,1,0.002,0.002,123093,123093,A1900_n65_r20_v06_t89000
A1900,1900,,s047z,47.0,z,True,n65,65,r20,20,v06,6,90000,1,1,1,0.002,0.002,733883,733883,A1900_n65_r20_v06_t90000
A1900,1900,,,,,False,n65,65,r20,20,v06,6,90000,1,1,1,0.002,0.002,3026573,3026573,A1900_n65_r20_v06_t90000
A1900,1900,,s030z,30.0,z,True,n65,65,r22,22,v00,0,90000,1,1,1,0.002,0.002,159640,159640,A1900_n65_r22_v00_t90000
A1900,1900,,s047z,47.0,z,True,n65,65,r22,22,v00,0,90000,1,1,1,0.002,0.002,2321572,2321572,A1900_n65_r22_v00_t90000
A1900,1900,,,,,False,n65,65,r22,22,v00,0,89000,1,1,1,0.002,0.002,3227694,3227694,A1900_n65_r22_v00_t89000
A1900,1900,,s030z,30.0,z,True,n65,65,r24,24,v00,0,89000,1,1,1,0.002,0.002,429146,429146,A1900_n65_r24_v00_t89000
A1900,1900,,s047z,47.0,z,True,n65,65,r24,24,v00,0,90000,1,1,1,0.002,0.002,3082655,3082655,A1900_n65_r24_v00_t90000
A1900,1900,,,,,False,n65,65,r24,24,v00,0,89000,1,1,1,0.002,0.002,3227694,3227694,A1900_n65_r24_v00_t89000
A1900,1900,,s030z,30.0,z,True,n65,65,r26,26,v00,0,89000,1,1,1,0.002,0.002,1218010,1218010,A1900_n65_r26_v00_t89000
A1900,1900,,s047z,47.0,z,True,n65,65,r26,26,v00,0,89000,1,1,1,0.002,0.002,3162280,3162280,A1900_n65_r26_v00_t89000
A1900,1900,,,,,False,n65,65,r26,26,v00,0,90000,1,1,1,0.002,0.002,3227694,3227694,A1900_n65_r26_v00_t90000
A2000,2000,,s030z,30.0,z,True,n65,65,r11,11,v00,0,90000,1,1,1,0.004,0.004,77623,77623,A2000_n65_r11_v00_t90000
A2000,2000,,s047z,47.0,z,True,n65,65,r11,11,v00,0,90000,1,1,1,0.004,0.004,109926,109926,A2000_n65_r11_v00_t90000
A2000,2000,,s030mz,30.0,mz,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,3162277,3162277,A2000_n65_r12_v00_t90000
A2000,2000,,s030x,30.0,x,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,43582,43582,A2000_n65_r12_v00_t90000
A2000,2000,,s030y,30.0,y,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,200567,200567,A2000_n65_r12_v00_t90000
A2000,2000,,s030z,30.0,z,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,100304,100304,A2000_n65_r12_v00_t90000
A2000,2000,,s036mz,36.0,mz,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,3162274,3162274,A2000_n65_r12_v00_t90000
A2000,2000,,s036x,36.0,x,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,140749,140749,A2000_n65_r12_v00_t90000
A2000,2000,,s036y,36.0,y,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,130038,130038,A2000_n65_r12_v00_t90000
A2000,2000,,s036z,36.0,z,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,92447,92447,A2000_n65_r12_v00_t90000
A2000,2000,,s047mz,47.0,mz,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,3035762,3035762,A2000_n65_r12_v00_t90000
A2000,2000,,s047x,47.0,x,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,180941,180941,A2000_n65_r12_v00_t90000
A2000,2000,,s047y,47.0,y,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,163786,163786,A2000_n65_r12_v00_t90000
A2000,2000,,s047z,47.0,z,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,119613,119613,A2000_n65_r12_v00_t90000
A2000,2000,,s086mz,86.0,mz,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,1187253,1187253,A2000_n65_r12_v00_t90000
A2000,2000,,s086x,86.0,x,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,263448,263448,A2000_n65_r12_v00_t90000
A2000,2000,,s086y,86.0,y,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,288381,288381,A2000_n65_r12_v00_t90000
A2000,2000,,s086z,86.0,z,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,110565,110565,A2000_n65_r12_v00_t90000
A2000,2000,,s170mz,170.0,mz,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,442695,442695,A2000_n65_r12_v00_t90000
A2000,2000,,s170x,170.0,x,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,251897,251897,A2000_n65_r12_v00_t90000
A2000,2000,,s170y,170.0,y,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,304486,304486,A2000_n65_r12_v00_t90000
A2000,2000,,s170z,170.0,z,True,n65,65,r12,12,v00,0,90000,1,1,1,0.004,0.004,176296,176296,A2000_n65_r12_v00_t90000
A2000,2000,,,,,False,n50,50,r12,12,v00,0,90000,1,1,1,0.0126,0.0126,10630,10630,A2000_n50_r12_v00_t90000
A2000,2000,,,,,False,n55,55,r12,12,v00,0,90000,1,1,1,0.0086,0.0086,29668,29668,A2000_n55_r12_v00_t90000
A2000,2000,,,,,False,n60,60,r12,12,v00,0,90000,1,1,1,0.0059,0.0059,79310,79310,A2000_n60_r12_v00_t90000
A2000,2000,,,,,False,n65,65,r12,12,v00,0,66000,1,1,1,0.004,0.004,989636,989636,A2000_n65_r12_v00_t66000
A2000,2000,,,,,False,n65,65,r12,12,v00,0,72000,1,1,1,0.004,0.004,278224,278224,A2000_n65_r12_v00_t72000
A2000,2000,,,,,False,n65,65,r12,12,v00,0,78000,1,1,1,0.004,0.004,175060,175060,A2000_n65_r12_v00_t78000
A2000,2000,,,,,False,n65,65,r12,12,v00,0,84000,1,1,1,0.004,0.004,209096,209096,A2000_n65_r12_v00_t84000
A2000,2000,,,,,False,n65,65,r12,12,v00,0,96000,1,1,1,0.004,0.004,214481,214481,A2000_n65_r12_v00_t96000
A2000,2000,,,,,False,n65,65,r12,12,v00,0,102000,1,1,1,0.004,0.004,214838,214838,A2000_n65_r12_v00_t102000
A2000,2000,,,,,False,n65,65,r12,12,v00,0,108000,1,1,1,0.004,0.004,214605,214605,A2000_n65_r12_v00_t108000
A2000,2000,,s030z,30.0,z,True,n65,65,r12,12,v02,2,90000,1,1,1,0.004,0.004,100750,100750,A2000_n65_r12_v02_t90000
A2000,2000,,s047z,47.0,z,True,n65,65,r12,12,v02,2,90000,1,1,1,0.004,0.004,107805,107805,A2000_n65_r12_v02_t90000
A2000,2000,,,,,False,n65,65,r12,12,v02,2,90000,1,1,1,0.004,0.004,177400,177400,A2000_n65_r12_v02_t90000
