eccentricity_threshold,run_count,fragmented_share,moderate_fragmentation_share,strong_fragmentation_share,bmf_ge_0p1_share
1.0,355,0.8816901408450705,0.8535211267605634,0.7352112676056338,0.3436619718309859
1.045,411,0.8978102189781022,0.8686131386861314,0.7518248175182481,0.35036496350364965
1.09,454,0.9052863436123348,0.8744493392070485,0.7599118942731278,0.32599118942731276
1.135,469,0.908315565031983,0.8784648187633263,0.7654584221748401,0.31556503198294245
1.18,475,0.9094736842105263,0.88,0.7663157894736842,0.31157894736842107
1.225,481,0.9106029106029107,0.8814968814968815,0.7692307692307693,0.3076923076923077
1.27,484,0.9111570247933884,0.8822314049586777,0.7706611570247934,0.30578512396694213
1.315,484,0.9111570247933884,0.8822314049586777,0.7706611570247934,0.30578512396694213
1.36,484,0.9111570247933884,0.8822314049586777,0.7706611570247934,0.30578512396694213
1.405,487,0.9117043121149897,0.8829568788501027,0.7720739219712526,0.30390143737166325
1.45,487,0.9117043121149897,0.8829568788501027,0.7720739219712526,0.30390143737166325
1.495,487,0.9117043121149897,0.8829568788501027,0.7720739219712526,0.30390143737166325
1.54,487,0.9117043121149897,0.8829568788501027,0.7720739219712526,0.30390143737166325
1.585,487,0.9117043121149897,0.8829568788501027,0.7720739219712526,0.30390143737166325
1.63,488,0.9118852459016393,0.8831967213114754,0.7704918032786885,0.30327868852459017
1.675,488,0.9118852459016393,0.8831967213114754,0.7704918032786885,0.30327868852459017
1.72,488,0.9118852459016393,0.8831967213114754,0.7704918032786885,0.30327868852459017
1.765,488,0.9118852459016393,0.8831967213114754,0.7704918032786885,0.30327868852459017
1.81,488,0.9118852459016393,0.8831967213114754,0.7704918032786885,0.30327868852459017
1.855,489,0.9120654396728016,0.8834355828220859,0.7689161554192229,0.30265848670756645
