Model,R2,MAE,RMSE,Features,Dataset,Evaluation
Random Forest (raw features),0.8977,0.0187,0.0298,"mass_log10_kg, periapsis_Rm, v_inf_kms, spin_period_hr, spin_axis, resolution_value, fof_linking_length",extraction_outputs/bound_outcomes.csv,Grouped OOF CV
Random Forest (raw + physics features),0.8947,0.0191,0.0302,"mass_log10_kg, periapsis_Rm, v_inf_kms, spin_period_hr, spin_axis, resolution_value, fof_linking_length, v_inf_squared, periapsis_inverse, angular_momentum_proxy, spin_frequency_hr_inv, asteroid_radius_km, encounter_eccentricity_proxy, time_within_2_mars_radii_hr, time_within_tidal_disruption_hr",extraction_outputs/bound_outcomes.csv,Grouped OOF CV
