iter	RMSE
0	0.04013095115
1	0.03943648157
2	0.03865701483
3	0.03817762207
4	0.03751692639
5	0.03680477579
6	0.03628486697
7	0.03568779219
8	0.03488733137
9	0.03442116455
10	0.03383255111
11	0.0331823373
12	0.03266866585
13	0.03234672931
14	0.03168905854
15	0.03118895833
16	0.03058572324
17	0.03023049853
18	0.02990209572
19	0.02958125757
20	0.02928581339
21	0.02890754476
22	0.02868043516
23	0.02837426127
24	0.0281720104
25	0.02783935765
26	0.02746119055
27	0.02712145764
28	0.02681215251
29	0.02664453535
30	0.02629954551
31	0.02607996916
32	0.02581572168
33	0.02570384042
34	0.02549504852
35	0.02533454139
36	0.02511129858
37	0.02493500083
38	0.02486904699
39	0.02466233781
40	0.02452851027
41	0.02425968584
42	0.02402022691
43	0.02364261362
44	0.02338739289
45	0.02325480667
46	0.02284440962
47	0.02256035509
48	0.02231425457
49	0.02222770655
50	0.02197773628
51	0.02180590279
52	0.02156288101
53	0.0214866964
54	0.02120818691
55	0.021103402
56	0.02097149578
57	0.02084275211
58	0.02073958523
59	0.02058537112
60	0.02038280587
61	0.02019636399
62	0.01994687146
63	0.0197328228
64	0.0195684881
65	0.01936729604
66	0.01911192473
67	0.01894394599
68	0.01867982362
69	0.01847921755
70	0.01833566624
71	0.01821822692
72	0.01803967351
73	0.01786214208
74	0.01769640396
75	0.01753770763
76	0.01737688603
77	0.01726543084
78	0.01709952368
79	0.01689886155
80	0.01669359448
81	0.0165485567
82	0.01639585005
83	0.0162595321
84	0.01625067016
85	0.01616062867
86	0.01606642006
87	0.01592883021
88	0.01583210646
89	0.01571498138
90	0.01565062248
91	0.01557864254
92	0.01541879534
93	0.01525922715
94	0.01510237668
95	0.01497679196
96	0.01489310131
97	0.01476161225
98	0.01465348037
99	0.01453560033
100	0.01447914563
101	0.0143578195
102	0.0142754564
103	0.0142121026
104	0.01409507127
105	0.014047585
106	0.01394255339
107	0.01389945289
108	0.01384790202
109	0.0137321983
110	0.01363542411
111	0.01359309173
112	0.01348179962
113	0.01339503198
114	0.0132530641
115	0.01316719135
116	0.01315947352
117	0.01307766063
118	0.01303662358
119	0.01295594872
120	0.01289585601
121	0.01278302618
122	0.01274983282
123	0.01267109881
124	0.01258203692
125	0.01255407876
126	0.01245754706
127	0.01237904301
128	0.01228844092
129	0.01220077797
130	0.01210223428
131	0.0120318556
132	0.01198653456
