mass_log10_kg,spin_axis,spin_period_hr,resolution_value,fof_linking_length,special_case_code,timestep,v_inf_kms,periapsis_Rm,has_explicit_spin,target_mass_kg,particle_log10,encounter_eccentricity_proxy,v_inf_squared,periapsis_inverse,spin_frequency_hr_inv,angular_momentum_proxy,asteroid_radius_km,time_within_2_mars_radii_hr,time_within_tidal_disruption_hr,has_spin,particle_mass_proxy,mass_resolution_interaction,spin_period_filled,is_exact_observed,interpolation_class,inside_parameter_ranges,inside_convex_hull,nearest_distance,distance_k3_mean,distance_k5_mean,local_support_count,nearest_supporting_physical_files,pred_gradient_boosting,pred_random_forest,pred_ridge,predicted_bmf,prediction_mean,prediction_min,prediction_max,prediction_std,prediction_range,local_prediction_variability,near_zero_boundary,trust_level,source
19.5,none,,65,0.002,none,90000,0.0,1.1,False,3.162277660168379e+19,1.8129133566428555,1.0,0.0,0.9090909090909091,,0.0,140.87995649532473,0.9950146326707979,1.6007232048504096,0,4.865042554105199e+17,17.687086643357144,0.0,False,extrapolation,True,False,0.2697953868334182,0.7710695984992926,0.8984895674472266,5,Ma_xp_A1950_n65_r12_v00_90000.hdf5; Ma_xp_A2000_n65_r11_v00_90000.hdf5; Ma_xp_A1900_n65_r12_v00_90000.hdf5,0.06609612425028288,0.07398603958591261,0.09879621327414137,0.06609612425028288,0.07962612570344561,0.06609612425028288,0.09879621327414137,0.013932740436395587,0.032700089023858486,0.046249968590178,True,low,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.0,1.2,False,3.162277660168379e+19,1.8129133566428555,1.0,0.0,0.8333333333333334,,0.0,140.87995649532473,0.9827806394355548,1.614442585309293,0,4.865042554105199e+17,17.687086643357144,0.0,False,boundary interpolation,True,True,0.0,0.6692639532390069,0.8173653634657839,5,Ma_xp_A1950_n65_r12_v00_90000.hdf5; Ma_xp_A1900_n65_r12_v00_90000.hdf5; Ma_xp_A2000_n65_r12_v00_90000.hdf5,0.06873595474135437,0.08392570475961472,0.08703485927128193,0.06873595474135437,0.07989883959075035,0.06873595474135437,0.08703485927128193,0.007994756992971946,0.018298904529927565,0.04669784158452285,True,medium,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.0,1.3,False,3.162277660168379e+19,1.8129133566428555,1.0,0.0,0.7692307692307692,,0.0,140.87995649532473,0.9610937965888252,1.6225211180584214,0,4.865042554105199e+17,17.687086643357144,0.0,False,boundary interpolation,True,True,0.26979538683341864,0.6943591590640615,0.8252981771713287,5,Ma_xp_A1950_n65_r12_v00_90000.hdf5; Ma_xp_A1950_n65_r16_v00_90000.hdf5; Ma_xp_A1900_n65_r13_v00_90000.hdf5,0.0662377994159055,0.07521810139290402,0.07517986257704866,0.0662377994159055,0.0722119211286194,0.0662377994159055,0.07521810139290402,0.0042243708194632705,0.00898030197699852,0.04605086511551279,True,medium,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.0,1.4,False,3.162277660168379e+19,1.8129133566428555,1.0,0.0,0.7142857142857143,,0.0,140.87995649532473,0.9284869091985879,1.6245823617011257,0,4.865042554105199e+17,17.687086643357144,0.0,False,boundary interpolation,True,True,0.5395907736668367,0.6943591590640615,0.8252981771713287,5,Ma_xp_A1950_n65_r12_v00_90000.hdf5; Ma_xp_A1950_n65_r16_v00_90000.hdf5; Ma_xp_A2000_n65_r14_v00_90000.hdf5,0.056583544531958054,0.05874464567334095,0.06302326756872198,0.056583544531958054,0.05945048592467366,0.056583544531958054,0.06302326756872198,0.002675962885001468,0.006439723036763927,0.0454973788135077,True,medium,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.0,1.5,False,3.162277660168379e+19,1.8129133566428555,1.0,0.0,0.6666666666666666,,0.0,140.87995649532473,0.8829049036741616,1.6201874567538088,0,4.865042554105199e+17,17.687086643357144,0.0,False,boundary interpolation,True,True,0.26979538683341864,0.6943591590640615,0.8252981771713289,5,Ma_xp_A1950_n65_r16_v00_90000.hdf5; Ma_xp_A1950_n65_r12_v00_90000.hdf5; Ma_xp_A1900_n65_r15_v00_90000.hdf5,0.04161707429963077,0.03546871433331664,0.05035193881241773,0.04161707429963077,0.04247924248178838,0.03546871433331664,0.05035193881241773,0.006106558943986496,0.014883224479101093,0.0446541877835732,True,medium,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.0,1.6,False,3.162277660168379e+19,1.8129133566428555,1.0,0.0,0.625,,0.0,140.87995649532473,0.821281919029865,1.608818427700622,0,4.865042554105199e+17,17.687086643357144,0.0,False,boundary interpolation,True,True,0.0,0.6692639532390069,0.8173653634657839,5,Ma_xp_A1950_n65_r16_v00_90000.hdf5; Ma_xp_A1900_n65_r16_v00_90000.hdf5; Ma_xp_A2000_n65_r16_v00_90000.hdf5,0.013112457694803134,0.008235513667159968,0.036912368194789644,0.013112457694803134,0.01942011318558425,0.008235513667159968,0.036912368194789644,0.012528111981792375,0.028676854527629678,0.042418795158624484,True,medium,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.0,1.7,False,3.162277660168379e+19,1.8129133566428555,1.0,0.0,0.5882352941176471,,0.0,140.87995649532473,0.7386068134544167,1.5898550828167466,0,4.865042554105199e+17,17.687086643357144,0.0,False,boundary interpolation,True,True,0.2697953868334181,0.7591957488501464,0.8713244408324675,5,Ma_xp_A1950_n65_r16_v00_90000.hdf5; Ma_xp_A2000_n65_r17_v00_90000.hdf5; Ma_xp_A1900_n65_r17_v00_90000.hdf5,0.01773086151442917,0.01416701402026036,0.02234811772793855,0.01773086151442917,0.01808199775420936,0.01416701402026036,0.02234811772793855,0.003349137895350751,0.00818110370767819,0.027253324805421864,True,medium,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.0,1.8,False,3.162277660168379e+19,1.8129133566428555,1.0,0.0,0.5555555555555556,,0.0,140.87995649532473,0.6254058614589896,1.5625421811002254,0,4.865042554105199e+17,17.687086643357144,0.0,False,boundary interpolation,True,True,0.5395907736668367,0.8491275444612857,0.9252835181991511,5,Ma_xp_A1950_n65_r16_v00_90000.hdf5; Ma_xp_A2000_n65_r18_v00_90000.hdf5; Ma_xp_A1900_n65_r18_v00_90000.hdf5,0.0004091476518299349,0.0036026574593254214,0.006044278541638935,0.0004091476518299349,0.003352027884264764,0.0004091476518299349,0.006044278541638935,0.0023073486117535,0.005635130889809,0.010040232337765237,False,medium,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.0,1.9,False,3.162277660168379e+19,1.8129133566428555,1.0,0.0,0.5263157894736842,,0.0,140.87995649532473,0.4580226086897332,1.5259412514688657,0,4.865042554105199e+17,17.687086643357144,0.0,False,boundary interpolation,True,True,0.8093861605002549,0.9390593400724253,0.9792425955658348,5,Ma_xp_A1950_n65_r16_v00_90000.hdf5; Ma_xp_A2000_n65_r19_v00_90000.hdf5; Ma_xp_A1900_n65_r19_v00_90000.hdf5,-0.002944896714340893,0.002033376522483045,-0.013459010411382838,-0.002944896714340893,-0.004790176867746895,-0.013459010411382838,0.002033376522483045,0.00645793090499685,0.015492386933865883,0.009145655594059965,False,medium,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.0,2.0,False,3.162277660168379e+19,1.8129133566428555,1.0,0.0,0.5,,0.0,140.87995649532473,0.0,1.4788571295282895,0,4.865042554105199e+17,17.687086643357144,0.0,False,boundary interpolation,True,True,1.0038959298585104,1.027643629156803,1.0559209017950755,5,Ma_xp_A2000_n65_r20_v00_90000.hdf5; Ma_xp_A1900_n65_r19_v00_90000.hdf5; Ma_xp_A2000_n65_r19_v00_90000.hdf5,-0.009419170603210953,0.001938053075208409,-0.05038378851135791,-0.009419170603210953,-0.01928830201312015,-0.05038378851135791,0.001938053075208409,0.022471368343471767,0.052321841586566324,0.010267264609479855,False,medium,mass19.5_peri
19.5,none,,65,0.002,none,90000,0.0,2.2,False,3.162277660168379e+19,1.8129133566428555,1.0,0.0,0.45454545454545453,,0.0,140.87995649532473,0.0,1.3463893624089283,0,4.865042554105199e+17,17.687086643357144,0.0,False,boundary interpolation,True,True,1.0038959298585104,1.0944463519077077,1.1627649598005978,5,Ma_xp_A2000_n65_r22_v00_90000.hdf5; Ma_xp_A2000_n65_r24_v00_90000.hdf5; Ma_xp_A2000_n65_r20_v00_90000.hdf5,-0.014654532304092586,0.001938053075208409,-0.06939799377488975,-0.014654532304092586,-0.027371491001257978,-0.06939799377488975,0.001938053075208409,0.030479486805925805,0.07133604685009816,0.009258574773535594,False,medium,mass19.5_peri
