fof_file,physical_file,mass_code,resolution_code,periapsis_code,velocity_code,spin_code,timestep,fof_linking_length,largest_fragment_particle_count,total_fragment_mass_kg,bound_fragment_count,energy_bound_mass_kg,energy_bound_mass_fraction,bound_mass_kg,bound_mass_fraction,largest_bound_fragment_mass_kg,unbound_fragment_count,unbound_mass_kg,unbound_mass_fraction,largest_unbound_fragment_mass_kg,target_mass_kg,captured_mass_kg,captured_mass_fraction,raw_hdf5_path,method,unresolved_handling,simulation_id,filename,file_path,file_size_bytes,mass_value,special_case_code,spin_value,spin_axis,has_explicit_spin,resolution_value,periapsis_value,velocity_value,chunk_index,parttype_group,particle_count_total,n_fof_groups,fragment_count_min_particles,mass_metrics_available,mass_unit,total_particle_mass_kg,largest_fragment_mass_kg,fragment_mass_fraction,particle_count_metrics_are_proxies,excluded_group_ids,min_particles,bound_mass_kg_existing_fof_csv,bound_mass_fraction_existing_fof_csv,unbound_mass_kg_existing_fof_csv,unbound_mass_fraction_existing_fof_csv
Ma_xp_A1850_n60_r12_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,A1850,n60,r12,v00,,90000,0.0014,55215,3.152599302709076e+18,0.0,1.56546207236e+18,0.495212035575,1.15136228191e+18,0.36421735753,0.0,132.0,2.0098332462599997e+18,0.6357826424699999,1.7405336223306835e+17,3.16119552817e+18,1.15136228191e+18,0.36421735753,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1850_n60_r12_v00_90000_fof_0.0014_0000,Ma_xp_A1850_n60_r12_v00_90000_fof_0.0014_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r12_v00_90000_fof_0.0014_0000.hdf5,140435643,1850,,,,False,60,12,0,0,PartType0,1002827,132,132,True,kg,3.152599302709076e+18,1.7405377670784746e+17,1.0,True,"-1,2147483647",20,0.0,0.0,3.152599249646037e+18,1.0
Ma_xp_A1850_n60_r12_v00_90000_fof_0.0019_0000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,A1850,n60,r12,v00,,90000,0.0019,55222,3.1545883930372864e+18,0.0,1.56546207236e+18,0.495212035575,1.15136228191e+18,0.36421735753,0.0,135.0,2.0098332462599997e+18,0.6357826424699999,1.740754282212171e+17,3.16119552817e+18,1.15136228191e+18,0.36421735753,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1850_n60_r12_v00_90000_fof_0.0019_0000,Ma_xp_A1850_n60_r12_v00_90000_fof_0.0019_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r12_v00_90000_fof_0.0019_0000.hdf5,140435643,1850,,,,False,60,12,0,0,PartType0,1002827,135,135,True,kg,3.1545883930372864e+18,1.7407584262963686e+17,1.0,True,"-1,2147483647",20,0.0,0.0,3.1545883408634404e+18,1.0
Ma_xp_A1850_n60_r12_v00_90000_fof_0.0024_0000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,A1850,n60,r12,v00,,90000,0.0024,55225,3.155209392619339e+18,0.0,1.56546207236e+18,0.495212035575,1.15136228191e+18,0.36421735753,0.0,135.0,2.0098332462599997e+18,0.6357826424699999,1.7408488507328083e+17,3.16119552817e+18,1.15136228191e+18,0.36421735753,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1850_n60_r12_v00_90000_fof_0.0024_0000,Ma_xp_A1850_n60_r12_v00_90000_fof_0.0024_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r12_v00_90000_fof_0.0024_0000.hdf5,140435643,1850,,,,False,60,12,0,0,PartType0,1002827,135,135,True,kg,3.155209392619339e+18,1.74085299561836e+17,1.0,True,"-1,2147483647",20,0.0,0.0,3.1552093408156257e+18,1.0
Ma_xp_A1850_n60_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,A1850,n60,r12,v00,,90000,0.002,55222,3.154749158940264e+18,0.0,1.56546207236e+18,0.495212035575,1.15136228191e+18,0.36421735753,0.0,135.0,2.0098332462599997e+18,0.6357826424699999,1.740754282212171e+17,3.16119552817e+18,1.15136228191e+18,0.36421735753,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1850_n60_r12_v00_90000_fof_0.002_0000,Ma_xp_A1850_n60_r12_v00_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r12_v00_90000_fof_0.002_0000.hdf5,140435651,1850,,,,False,60,12,0,0,PartType0,1002827,135,135,True,kg,3.154749158940264e+18,1.7407584262963686e+17,1.0,True,"-1,2147483647",20,0.0,0.0,3.1547491073485245e+18,1.0
Ma_xp_A1850_n60_r16_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,A1850,n60,r16,v00,,90000,0.0014,210426,3.157220554545605e+18,0.0,1.51017416291e+18,0.477722478553,9.75682341119e+17,0.308643464925,0.0,61.0,2.1855131870509998e+18,0.691356535075,6.633225174549916e+17,3.16119552817e+18,9.75682341119e+17,0.308643464925,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1850_n60_r16_v00_90000_fof_0.0014_0000,Ma_xp_A1850_n60_r16_v00_90000_fof_0.0014_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r16_v00_90000_fof_0.0014_0000.hdf5,140435643,1850,,,,False,60,16,0,0,PartType0,1002827,61,61,True,kg,3.157220554545605e+18,6.63321932741246e+17,1.0,True,"-1,2147483647",20,0.0,0.0,3.1572204980234496e+18,1.0
Ma_xp_A1850_n60_r16_v00_90000_fof_0.0019_0000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,A1850,n60,r16,v00,,90000,0.0019,210429,3.158059061563548e+18,0.0,1.51017416291e+18,0.477722478553,9.75682341119e+17,0.308643464925,0.0,61.0,2.1855131870509998e+18,0.691356535075,6.633319743070554e+17,3.16119552817e+18,9.75682341119e+17,0.308643464925,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1850_n60_r16_v00_90000_fof_0.0019_0000,Ma_xp_A1850_n60_r16_v00_90000_fof_0.0019_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r16_v00_90000_fof_0.0019_0000.hdf5,140435643,1850,,,,False,60,16,0,0,PartType0,1002827,61,61,True,kg,3.158059061563548e+18,6.633313896170666e+17,1.0,True,"-1,2147483647",20,0.0,0.0,3.1580590055731005e+18,1.0
Ma_xp_A1850_n60_r16_v00_90000_fof_0.0024_0000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,A1850,n60,r16,v00,,90000,0.0024,210429,3.158172543988177e+18,0.0,1.51017416291e+18,0.477722478553,9.75682341119e+17,0.308643464925,0.0,61.0,2.1855131870509998e+18,0.691356535075,6.633319743070554e+17,3.16119552817e+18,9.75682341119e+17,0.308643464925,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1850_n60_r16_v00_90000_fof_0.0024_0000,Ma_xp_A1850_n60_r16_v00_90000_fof_0.0024_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r16_v00_90000_fof_0.0024_0000.hdf5,140435643,1850,,,,False,60,16,0,0,PartType0,1002827,61,61,True,kg,3.158172543988177e+18,6.633313896170666e+17,1.0,True,"-1,2147483647",20,0.0,0.0,3.1581724877978655e+18,1.0
Ma_xp_A1850_n60_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,A1850,n60,r16,v00,,90000,0.002,210429,3.1581000415555174e+18,0.0,1.51017416291e+18,0.477722478553,9.75682341119e+17,0.308643464925,0.0,61.0,2.1855131870509998e+18,0.691356535075,6.633319743070554e+17,3.16119552817e+18,9.75682341119e+17,0.308643464925,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1850_n60_r16_v00_90000_fof_0.002_0000,Ma_xp_A1850_n60_r16_v00_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r16_v00_90000_fof_0.002_0000.hdf5,140435651,1850,,,,False,60,16,0,0,PartType0,1002827,61,61,True,kg,3.1581000415555174e+18,6.633313896170666e+17,1.0,True,"-1,2147483647",20,0.0,0.0,3.158099985265377e+18,1.0
,Ma_xp_A1900_n50_r12_v00_54000.hdf5,A1900,n50,r12,v00,,54000,0.006,6829,9.916082532868033e+18,,,,,,,,,,,,,,,,,Ma_xp_A1900_n50_r12_v00_54000_fof_0.006_0000,Ma_xp_A1900_n50_r12_v00_54000_fof_0.006_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n50_r12_v00_54000_fof_0.006_0000.hdf5,50119229,1900,,,,False,50,12,0,0,PartType0,108605,92,92,True,kg,9.916082532868033e+18,6.28633889061813e+17,1.0,True,"-1,2147483647",20,,,,
,Ma_xp_A1900_n50_r12_v00_56000.hdf5,A1900,n50,r12,v00,,56000,0.006,6909,9.924643464845242e+18,,,,,,,,,,,,,,,,,Ma_xp_A1900_n50_r12_v00_56000_fof_0.006_0000,Ma_xp_A1900_n50_r12_v00_56000_fof_0.006_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n50_r12_v00_56000_fof_0.006_0000.hdf5,50119229,1900,,,,False,50,12,0,0,PartType0,108605,87,87,True,kg,9.924643464845242e+18,6.360011882769449e+17,1.0,True,"-1,2147483647",20,,,,
