fof_file,particle_index,x,y,z,vx,vy,vz,speed,is_zero_speed
/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,2656637,141.8395696953141,84.34215629710482,169.50754282255593,0.0,0.0,0.0,0.0,True
/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,2661667,141.86443931538827,84.34705700676795,169.4969909300075,0.0,0.0,0.0,0.0,True
/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,2662602,141.83557548319837,84.36833995210932,169.47434617056618,0.0,0.0,0.0,0.0,True
/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,2672738,142.6959704171781,85.43184041702123,169.44964117445156,0.0,0.0,0.0,0.0,True
/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,2681699,142.71746476642312,85.42000335082824,169.45025030161807,0.0,0.0,0.0,0.0,True
/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,2685719,142.72523980112038,85.46176093208402,169.4348389927681,0.0,0.0,0.0,0.0,True
/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,2687879,142.74041423604254,85.47294826729299,169.44354801603225,0.0,0.0,0.0,0.0,True
/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,2694353,143.5998254751464,86.28335381884568,169.45876551593554,0.0,0.0,0.0,0.0,True
/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,2695798,143.95933518718277,86.56524903781123,169.46709123373816,0.0,0.0,0.0,0.0,True
/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,2704035,144.7257691304807,87.30023833768192,169.44680600286253,0.0,0.0,0.0,0.0,True
/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,2712579,144.71113597712733,87.34589853265216,169.45292068615476,0.0,0.0,0.0,0.0,True
/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,2720756,142.70337032740318,85.42494385613317,169.4895433415798,0.0,0.0,0.0,0.0,True
/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,2740212,144.72518701847198,87.27048663879697,169.47392604561563,0.0,0.0,0.0,0.0,True
/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,2741125,144.68875389794016,87.3069171241717,169.47504683514632,0.0,0.0,0.0,0.0,True
/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,2746810,144.70314837283968,87.31883718801087,169.50077233128414,0.0,0.0,0.0,0.0,True
/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,2748367,144.7406148174888,87.28993146841674,169.4853124796743,0.0,0.0,0.0,0.0,True
/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A2000_n65_r12_v02_90000_fof_0.0040_0000.hdf5,2755910,144.71997871786095,87.32904922838402,169.5046539617839,0.0,0.0,0.0,0.0,True
