fof_file,physical_file,mass_code,resolution_code,periapsis_code,velocity_code,spin_code,timestep,fof_linking_length,n_fragments,total_fragment_mass_kg,bound_fragment_count,bound_mass_kg,bound_mass_fraction,largest_bound_fragment_mass_kg,unbound_fragment_count,unbound_mass_kg,unbound_mass_fraction,largest_unbound_fragment_mass_kg
Ma_xp_A1900_n65_r19_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r19_v00_90000.hdf5,A1900,n65,r19,v00,,90000,0.002,2,9.99815710008205e+18,0,0.0,0.0,0.0,2,9.99815710008205e+18,1.0,6.595103594091219e+18
Ma_xp_A1900_n65_r20_v06_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r20_v06_90000.hdf5,A1900,n65,r20,v06,,90000,0.002,197,9.938314253361048e+18,0,0.0,0.0,0.0,197,9.938314253361048e+18,1.0,9.375161439874968e+18
Ma_xp_A1900_n65_r26_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r26_v00_90000.hdf5,A1900,n65,r26,v00,,90000,0.002,1,9.998157100156684e+18,0,0.0,0.0,0.0,1,9.998157100156684e+18,1.0,9.998157100156684e+18
Ma_xp_A1900_s030x_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030x_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s030x,90000,0.002,3162,9.481483861416243e+18,75,1.4135251333299302e+17,0.0149082691484831,7.914865930663922e+16,3087,9.34013134808325e+18,0.9850917308515168,1.3536509523084376e+17
Ma_xp_A1900_s030z_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s030z,90000,0.002,398,1.0000249740696865e+19,65,7.339959686417402e+17,0.0733977638233054,1.285821017217212e+17,333,9.266253772055122e+18,0.9266022361766943,3.315520888012409e+17
Ma_xp_A1900_s030z_n65_r12_v04_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r12_v04_90000.hdf5,A1900,n65,r12,v04,s030z,90000,0.002,413,9.997951763923614e+18,25,1.606555182257132e+17,0.0160688431009858,3.9775600722377336e+16,388,9.837296245697905e+18,0.9839311568990144,3.2906393464018426e+17
Ma_xp_A1900_s030z_n65_r12_v06_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r12_v06_90000.hdf5,A1900,n65,r12,v06,s030z,90000,0.002,402,9.996145078736943e+18,0,0.0,0.0,0.0,402,9.996145078736943e+18,1.0,3.1130770583733165e+17
Ma_xp_A1900_s030z_n65_r12_v08_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r12_v08_90000.hdf5,A1900,n65,r12,v08,s030z,90000,0.002,350,1.0000357507883563e+19,0,0.0,0.0,0.0,350,1.0000357507883563e+19,1.0,3.497774218280889e+17
Ma_xp_A1900_s030z_n65_r12_v20_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r12_v20_90000.hdf5,A1900,n65,r12,v20,s030z,90000,0.002,201,1.0010332311890567e+19,0,0.0,0.0,0.0,201,1.0010332311890567e+19,1.0,4.9594459270340986e+17
Ma_xp_A1900_s030z_n65_r13_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r13_v00_90000.hdf5,A1900,n65,r13,v00,s030z,90000,0.002,394,9.811447969031e+18,57,6.860776060852138e+17,0.0699262339514778,1.0125361105085453e+17,337,9.125370362945786e+18,0.930073766048522,2.5817214360044826e+17
Ma_xp_A1900_s030z_n65_r15_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r15_v00_90000.hdf5,A1900,n65,r15,v00,s030z,90000,0.002,407,9.998332118699958e+18,44,6.153569746947667e+17,0.0615459626054889,8.757985684601586e+16,363,9.382975144005192e+18,0.938454037394511,3.272001962367431e+17
Ma_xp_A1900_s030z_n65_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r16_v00_90000.hdf5,A1900,n65,r16,v00,s030z,90000,0.002,393,1.0000658622080864e+19,36,5.2456628961292486e+17,0.0524531742794133,5.7817095607389304e+16,357,9.47609233246794e+18,0.9475468257205868,3.329213659956058e+17
Ma_xp_A1900_s030z_n65_r16_v02_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r16_v02_90000.hdf5,A1900,n65,r16,v02,s030z,90000,0.002,363,1.0004227617731193e+19,32,3.9774649835438426e+17,0.0397578417397691,6.1240288593301624e+16,331,9.606481119376808e+18,0.9602421582602308,3.343984103765643e+17
Ma_xp_A1900_s030z_n65_r16_v04_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r16_v04_90000.hdf5,A1900,n65,r16,v04,s030z,90000,0.002,369,9.999622155316154e+18,9,8.443559069594187e+16,0.0084438781170399,2.5807071565986908e+16,360,9.91518656462021e+18,0.9915561218829598,2.886797662758242e+17
Ma_xp_A1900_s030z_n65_r17_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r17_v00_90000.hdf5,A1900,n65,r17,v00,s030z,90000,0.002,368,1.0002199058925015e+19,38,4.44958034951778e+17,0.0444860207570793,1.0197311550252312e+17,330,9.55724102397324e+18,0.955513979242921,3.808999513916751e+17
Ma_xp_A1900_s030z_n65_r19_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r19_v00_90000.hdf5,A1900,n65,r19,v00,s030z,90000,0.002,360,1.0004747435925938e+19,27,3.317137395808705e+17,0.0331556335335086,5.879650915613644e+16,333,9.673033696345068e+18,0.9668443664664914,4.0496689985651974e+17
Ma_xp_A1900_s030z_n65_r20_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r20_v00_90000.hdf5,A1900,n65,r20,v00,s030z,90000,0.002,317,1.0003137267373378e+19,10,2.024089637844355e+17,0.0202345482596365,8.707905639066942e+16,307,9.800728303588942e+18,0.9797654517403634,4.0362931889350586e+17
Ma_xp_A1900_s030z_n65_r20_v02_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r20_v02_90000.hdf5,A1900,n65,r20,v02,s030z,90000,0.002,313,1.0005416226407647e+19,6,1.3657589126839752e+17,0.0136501958717047,8.470817828561163e+16,307,9.86884033513925e+18,0.9863498041282952,3.9577182314158304e+17
Ma_xp_A1900_s030z_n65_r20_v04_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r20_v04_90000.hdf5,A1900,n65,r20,v04,s030z,90000,0.002,326,1.0005200692034791e+19,0,0.0,0.0,0.0,326,1.0005200692034791e+19,1.0,3.5861116150562374e+17
Ma_xp_A1900_s030z_n65_r22_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s030z_n65_r22_v00_90000.hdf5,A1900,n65,r22,v00,s030z,90000,0.002,264,1.0008427368386603e+19,0,0.0,0.0,0.0,264,1.0008427368386603e+19,1.0,5.0599863728795974e+17
