simulation_id,filename,file_path,file_size_bytes,mass_code,mass_value,special_case_code,spin_code,spin_value,spin_axis,has_explicit_spin,resolution_code,resolution_value,periapsis_code,periapsis_value,velocity_code,velocity_value,timestep,fof_linking_length,chunk_index
Ma_xp_A1850_n60_r16_v00_90000_fof_0.0024_0000,Ma_xp_A1850_n60_r16_v00_90000_fof_0.0024_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r16_v00_90000_fof_0.0024_0000.hdf5,140435643,A1850,1850,,,,,False,n60,60,r16,16,v00,0,90000,0.0024,0
Ma_xp_A1850_n60_r16_v00_90000_fof_0.002_0000,Ma_xp_A1850_n60_r16_v00_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r16_v00_90000_fof_0.002_0000.hdf5,140435651,A1850,1850,,,,,False,n60,60,r16,16,v00,0,90000,0.002,0
Ma_xp_A1900_n50_r12_v00_54000_fof_0.006_0000,Ma_xp_A1900_n50_r12_v00_54000_fof_0.006_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n50_r12_v00_54000_fof_0.006_0000.hdf5,50119229,A1900,1900,,,,,False,n50,50,r12,12,v00,0,54000,0.006,0
Ma_xp_A1900_n50_r12_v00_56000_fof_0.006_0000,Ma_xp_A1900_n50_r12_v00_56000_fof_0.006_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n50_r12_v00_56000_fof_0.006_0000.hdf5,50119229,A1900,1900,,,,,False,n50,50,r12,12,v00,0,56000,0.006,0
Ma_xp_A1900_n50_r12_v00_58000_fof_0.006_0000,Ma_xp_A1900_n50_r12_v00_58000_fof_0.006_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n50_r12_v00_58000_fof_0.006_0000.hdf5,50119229,A1900,1900,,,,,False,n50,50,r12,12,v00,0,58000,0.006,0
Ma_xp_A1900_n50_r12_v00_60000_fof_0.006_0000,Ma_xp_A1900_n50_r12_v00_60000_fof_0.006_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n50_r12_v00_60000_fof_0.006_0000.hdf5,50119229,A1900,1900,,,,,False,n50,50,r12,12,v00,0,60000,0.006,0
Ma_xp_A1900_n50_r12_v00_62000_fof_0.006_0000,Ma_xp_A1900_n50_r12_v00_62000_fof_0.006_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n50_r12_v00_62000_fof_0.006_0000.hdf5,50119229,A1900,1900,,,,,False,n50,50,r12,12,v00,0,62000,0.006,0
Ma_xp_A1900_n50_r12_v00_64000_fof_0.006_0000,Ma_xp_A1900_n50_r12_v00_64000_fof_0.006_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n50_r12_v00_64000_fof_0.006_0000.hdf5,50119229,A1900,1900,,,,,False,n50,50,r12,12,v00,0,64000,0.006,0
Ma_xp_A1900_n50_r12_v00_66000_fof_0.006_0000,Ma_xp_A1900_n50_r12_v00_66000_fof_0.006_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n50_r12_v00_66000_fof_0.006_0000.hdf5,50119229,A1900,1900,,,,,False,n50,50,r12,12,v00,0,66000,0.006,0
Ma_xp_A1900_n50_r12_v00_68000_fof_0.006_0000,Ma_xp_A1900_n50_r12_v00_68000_fof_0.006_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n50_r12_v00_68000_fof_0.006_0000.hdf5,50119229,A1900,1900,,,,,False,n50,50,r12,12,v00,0,68000,0.006,0
