metric,count,min,median,mean,max,std
mass_log10_kg,489,18.0,20.0,19.66871165644172,21.0,0.551323460484915
particle_log10,489,5.0,6.5,6.425357873210634,7.0,0.3201740125364084
periapsis_Rm,489,1.1,1.6,1.5680981595092023,3.0,0.36843246619732745
v_inf_kms,489,0.0,0.0,0.19141104294478525,3.0,0.3987786846159575
spin_period_hr,217,3.0,4.7,5.573271889400922,17.0,4.068297132707141
fof_linking_length,489,0.0001,0.004,0.003601022494887526,0.0126,0.001653008613695625
timestep,489,54000.0,90000.0,88912.26993865031,108000.0,5705.053551487836
file_size_bytes,489,50119221.0,462775104.0,445383624.60940695,1098212512.0,156153378.52697572
