mae,rmse,r2,train_mae,train_rmse,train_r2,task,dataset,feature_set,target,model,rows,unique_physical_files,source_column
65.9115112268294,189.30720849027298,0.49048536041092583,33.77610710258437,113.68354391124826,0.8162541364429483,regression,all_successful_runs,with_fof_linking_length,bound_fragment_count,random_forest_regressor,407,279,bound_fragment_count
84.29040874619623,197.89271614686987,0.4432221075978885,53.15385974183331,132.18992264553657,0.7515614071050186,regression,all_successful_runs,with_fof_linking_length,bound_fragment_count,gradient_boosting_regressor,407,279,bound_fragment_count
118.94453642365283,241.21501580423634,0.17276092023295475,114.53709055759164,230.75780090367658,0.2429315514368331,regression,all_successful_runs,with_fof_linking_length,bound_fragment_count,ridge,407,279,bound_fragment_count
124.51415291390751,267.690050357929,-0.018795041898805875,121.8034398034398,265.2093420036238,0.0,regression,all_successful_runs,with_fof_linking_length,bound_fragment_count,dummy_mean,407,279,bound_fragment_count
85.59947755963285,237.52602183407552,0.19787000981016212,64.79464942419457,191.43748832171744,0.47895367243869547,regression,all_successful_runs,without_fof_linking_length,bound_fragment_count,random_forest_regressor,407,279,bound_fragment_count
95.44444907984364,242.3574169647845,0.16490670977173916,72.45640266920124,197.85980707687406,0.44340727377733713,regression,all_successful_runs,without_fof_linking_length,bound_fragment_count,gradient_boosting_regressor,407,279,bound_fragment_count
116.3840837443415,243.27566326517504,0.15856670166176356,112.59902455807931,233.28357741096497,0.22626775347216588,regression,all_successful_runs,without_fof_linking_length,bound_fragment_count,ridge,407,279,bound_fragment_count
124.51415291390751,267.690050357929,-0.018795041898805875,121.8034398034398,265.2093420036238,0.0,regression,all_successful_runs,without_fof_linking_length,bound_fragment_count,dummy_mean,407,279,bound_fragment_count
92.67071832180166,239.23311944795472,0.49558389902482225,50.01937054587387,140.0724481349915,0.827077393685571,regression,positive_bound_runs,with_fof_linking_length,bound_fragment_count,random_forest_regressor,225,160,bound_fragment_count
94.89526803999296,244.6545537900165,0.4724629798415865,45.07627217547618,120.02032156396518,0.8730432178130756,regression,positive_bound_runs,with_fof_linking_length,bound_fragment_count,gradient_boosting_regressor,225,160,bound_fragment_count
173.60493469070886,296.6644370825882,0.22432943660449167,163.31536321943707,274.8596440985337,0.3341624341050152,regression,positive_bound_runs,with_fof_linking_length,bound_fragment_count,ridge,225,160,bound_fragment_count
183.92370370370375,338.2024649288509,-0.008091310971516608,182.97619753086423,336.84246188447656,0.0,regression,positive_bound_runs,with_fof_linking_length,bound_fragment_count,dummy_mean,225,160,bound_fragment_count
145.65675189652015,320.32575327401054,0.09566352757339702,109.97849735814195,250.6298271408023,0.4463799075797328,regression,positive_bound_runs,without_fof_linking_length,bound_fragment_count,random_forest_regressor,225,160,bound_fragment_count
146.16088729899548,321.49015177440765,0.089076970686777,102.28220442621715,240.32611883341337,0.4909642549751859,regression,positive_bound_runs,without_fof_linking_length,bound_fragment_count,gradient_boosting_regressor,225,160,bound_fragment_count
163.13862763570026,309.9602757019545,0.15324374907690186,152.5202649175342,290.31277375828995,0.25718848972392483,regression,positive_bound_runs,without_fof_linking_length,bound_fragment_count,ridge,225,160,bound_fragment_count
183.92370370370375,338.2024649288509,-0.008091310971516608,182.97619753086423,336.84246188447656,0.0,regression,positive_bound_runs,without_fof_linking_length,bound_fragment_count,dummy_mean,225,160,bound_fragment_count
0.018393835746728145,0.02984416839918514,0.8971269153614542,0.007500461568290972,0.013417978481142203,0.9792050930859756,regression,all_successful_runs,with_fof_linking_length,bound_mass_fraction,random_forest_regressor,407,279,bound_mass_fraction
0.022750379689608313,0.031689090840589476,0.8840148582812355,0.014014702179025413,0.02014468922667968,0.9531290298993127,regression,all_successful_runs,with_fof_linking_length,bound_mass_fraction,gradient_boosting_regressor,407,279,bound_mass_fraction
0.04350587349449201,0.05324873063744105,0.6725075311196393,0.04246158967542434,0.05168210987550119,0.6914942459680833,regression,all_successful_runs,with_fof_linking_length,bound_mass_fraction,ridge,407,279,bound_mass_fraction
0.08547816585918852,0.09426536057663217,-0.026330097028252064,0.08429764513533226,0.0930483338058637,0.0,regression,all_successful_runs,with_fof_linking_length,bound_mass_fraction,dummy_mean,407,279,bound_mass_fraction
0.020770964126030845,0.036917866493093025,0.8425814207672061,0.011849131204346204,0.02582453838867544,0.9229721221358604,regression,all_successful_runs,without_fof_linking_length,bound_mass_fraction,random_forest_regressor,407,279,bound_mass_fraction
0.024421184872556245,0.03747515929655198,0.8377929321812201,0.016390496139776882,0.02861021870628302,0.9054579197658048,regression,all_successful_runs,without_fof_linking_length,bound_mass_fraction,gradient_boosting_regressor,407,279,bound_mass_fraction
0.04386249051257463,0.053729914290103764,0.6665619986449092,0.04287268176030985,0.05227996704644769,0.684315390853629,regression,all_successful_runs,without_fof_linking_length,bound_mass_fraction,ridge,407,279,bound_mass_fraction
0.08547816585918852,0.09426536057663217,-0.026330097028252064,0.08429764513533226,0.0930483338058637,0.0,regression,all_successful_runs,without_fof_linking_length,bound_mass_fraction,dummy_mean,407,279,bound_mass_fraction
0.019336320339722886,0.02802036768632949,0.8793161557726992,0.009200223121986813,0.012088652950697904,0.9775375411045167,regression,positive_bound_runs,with_fof_linking_length,bound_mass_fraction,gradient_boosting_regressor,225,160,bound_mass_fraction
0.025450203299266935,0.03522240549058218,0.8093049144384828,0.010108387868544596,0.015883460611986,0.9612214347570361,regression,positive_bound_runs,with_fof_linking_length,bound_mass_fraction,random_forest_regressor,225,160,bound_mass_fraction
0.026339640384129056,0.03587947260066117,0.8021237928994982,0.02357899246390845,0.031163574163816446,0.8507219344742389,regression,positive_bound_runs,with_fof_linking_length,bound_mass_fraction,ridge,225,160,bound_mass_fraction
0.06984857919472323,0.08088673896784215,-0.00567146916620187,0.06966517344204165,0.08065833671919935,0.0,regression,positive_bound_runs,with_fof_linking_length,bound_mass_fraction,dummy_mean,225,160,bound_mass_fraction
0.01951596517879413,0.028356915469550888,0.8763997204243652,0.009665455125076624,0.013175286719952337,0.9733178005575114,regression,positive_bound_runs,without_fof_linking_length,bound_mass_fraction,gradient_boosting_regressor,225,160,bound_mass_fraction
0.02580590122023747,0.03584396957908965,0.8025151992939163,0.011299336960009386,0.017521124120956928,0.952812669568303,regression,positive_bound_runs,without_fof_linking_length,bound_mass_fraction,random_forest_regressor,225,160,bound_mass_fraction
0.02655020273118235,0.036388967428529505,0.7964641381938775,0.023701437917922247,0.031705086761221,0.8454890126072908,regression,positive_bound_runs,without_fof_linking_length,bound_mass_fraction,ridge,225,160,bound_mass_fraction
0.06984857919472323,0.08088673896784215,-0.00567146916620187,0.06966517344204165,0.08065833671919935,0.0,regression,positive_bound_runs,without_fof_linking_length,bound_mass_fraction,dummy_mean,225,160,bound_mass_fraction
5.675631157883973e+17,1.6116920043958287e+18,0.8241661480013522,2.2446781375355898e+17,5.412518887091051e+17,0.980169336863708,regression,all_successful_runs,with_fof_linking_length,largest_bound_fragment_mass_kg,random_forest_regressor,407,279,largest_bound_fragment_mass_kg
7.682351232684941e+17,1.734224147611879e+18,0.7964135611261054,3.988760963009688e+17,5.838895568081944e+17,0.9769219131721535,regression,all_successful_runs,with_fof_linking_length,largest_bound_fragment_mass_kg,gradient_boosting_regressor,407,279,largest_bound_fragment_mass_kg
1.708978769834001e+18,3.349991055090344e+18,0.24032876456251162,1.6370661691480965e+18,3.1390048258137185e+18,0.33300534407386617,regression,all_successful_runs,with_fof_linking_length,largest_bound_fragment_mass_kg,ridge,407,279,largest_bound_fragment_mass_kg
1.858707031952421e+18,3.873629750493335e+18,-0.015721400371806693,1.8315963956089956e+18,3.843534699375421e+18,0.0,regression,all_successful_runs,with_fof_linking_length,largest_bound_fragment_mass_kg,dummy_mean,407,279,largest_bound_fragment_mass_kg
6.49565056334354e+17,1.7001697805570499e+18,0.8043305732128183,3.5918112360854176e+17,7.333069686123753e+17,0.9635992768344454,regression,all_successful_runs,without_fof_linking_length,largest_bound_fragment_mass_kg,random_forest_regressor,407,279,largest_bound_fragment_mass_kg
8.237797851547762e+17,1.782267083110062e+18,0.7849774738288322,4.5971544761656634e+17,7.263118825501562e+17,0.9642904246079979,regression,all_successful_runs,without_fof_linking_length,largest_bound_fragment_mass_kg,gradient_boosting_regressor,407,279,largest_bound_fragment_mass_kg
1.7598185983834962e+18,3.4110198281723377e+18,0.2123978818201594,1.6914366643256215e+18,3.2106652236255073e+18,0.3022040643556291,regression,all_successful_runs,without_fof_linking_length,largest_bound_fragment_mass_kg,ridge,407,279,largest_bound_fragment_mass_kg
1.858707031952421e+18,3.873629750493335e+18,-0.015721400371806693,1.8315963956089956e+18,3.843534699375421e+18,0.0,regression,all_successful_runs,without_fof_linking_length,largest_bound_fragment_mass_kg,dummy_mean,407,279,largest_bound_fragment_mass_kg
1.162849973195293e+18,3.741817143791182e+18,0.39357937117600006,3.2723930491111136e+17,6.742280806393293e+17,0.9803110517207486,regression,positive_bound_runs,with_fof_linking_length,largest_bound_fragment_mass_kg,random_forest_regressor,225,160,largest_bound_fragment_mass_kg
1.2052284214779167e+18,3.728886040810657e+18,0.39776350819308814,2.965899731435423e+17,4.3295810862965344e+17,0.9918810362762507,regression,positive_bound_runs,with_fof_linking_length,largest_bound_fragment_mass_kg,gradient_boosting_regressor,225,160,largest_bound_fragment_mass_kg
2.2111141838006385e+18,4.919943136860264e+18,-0.04840482797382095,2.1417684388998907e+18,4.805024177352413e+18,0.0,regression,positive_bound_runs,with_fof_linking_length,largest_bound_fragment_mass_kg,dummy_mean,225,160,largest_bound_fragment_mass_kg
2.3133722344727854e+18,4.4576407556701455e+18,0.13936505428958856,2.0510406734662223e+18,3.4126811500870303e+18,0.49557073718640243,regression,positive_bound_runs,with_fof_linking_length,largest_bound_fragment_mass_kg,ridge,225,160,largest_bound_fragment_mass_kg
1.22494209171196e+18,3.765603654988446e+18,0.3858449048529332,4.452806670880371e+17,8.255328189983537e+17,0.970482638639131,regression,positive_bound_runs,without_fof_linking_length,largest_bound_fragment_mass_kg,random_forest_regressor,225,160,largest_bound_fragment_mass_kg
1.2660741694002575e+18,3.752910712090708e+18,0.3899782645998988,3.651018656862082e+17,6.173618294976084e+17,0.9834922305817012,regression,positive_bound_runs,without_fof_linking_length,largest_bound_fragment_mass_kg,gradient_boosting_regressor,225,160,largest_bound_fragment_mass_kg
