accuracy,balanced_accuracy,precision,recall,f1,roc_auc,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,train_roc_auc,task,dataset,feature_set,target,model,rows,unique_physical_files,source_column
0.6363636363636364,0.5,0.0,0.0,0.0,0.5,0.6363636363636364,0.5,0.0,0.0,0.0,0.5,classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,dummy_most_frequent,407,279,bound_mass_fraction_ge_0_1
0.9115479115479116,0.916023166023166,0.8414634146341463,0.9324324324324325,0.8846153846153846,0.9726077428780131,0.918918918918919,0.9247104247104247,0.8484848484848485,0.9459459459459459,0.8945686900958466,0.9786340394448503,classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,407,279,bound_mass_fraction_ge_0_1
0.9484029484029484,0.9493243243243243,0.9096774193548387,0.9527027027027027,0.9306930693069307,0.9923301680058437,0.9901719901719902,0.9893822393822393,0.9864864864864865,0.9864864864864865,0.9864864864864865,0.9995825941771889,classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,407,279,bound_mass_fraction_ge_0_1
0.9606879606879607,0.9618725868725868,0.9285714285714286,0.9662162162162162,0.9470198675496688,0.9899170405927163,0.9926289926289926,0.9927606177606177,0.9865771812080537,0.9932432432432432,0.98989898989899,0.9996086820411145,classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,407,279,bound_mass_fraction_ge_0_1
0.6363636363636364,0.5,0.0,0.0,0.0,0.5,0.6363636363636364,0.5,0.0,0.0,0.0,0.5,classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,dummy_most_frequent,407,279,bound_mass_fraction_ge_0_1
0.9164619164619164,0.9242277992277992,0.8392857142857143,0.9527027027027027,0.8924050632911392,0.9717468433684651,0.9213759213759214,0.9295366795366795,0.8452380952380952,0.9594594594594594,0.8987341772151899,0.9768861525618283,classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,407,279,bound_mass_fraction_ge_0_1
0.9312039312039312,0.9401544401544402,0.8571428571428571,0.972972972972973,0.9113924050632911,0.9819602420953772,0.9778869778869779,0.9811776061776061,0.9483870967741935,0.9932432432432432,0.9702970297029703,0.99107795053741,classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,407,279,bound_mass_fraction_ge_0_1
0.9533169533169533,0.9531853281853282,0.9215686274509803,0.9527027027027027,0.9368770764119602,0.9796775540018784,0.9754299754299754,0.9777992277992278,0.948051948051948,0.9864864864864865,0.9668874172185431,0.9867734529896691,classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,407,279,bound_mass_fraction_ge_0_1
0.6577777777777778,0.5,0.6577777777777778,1.0,0.7935656836461126,0.5,0.6577777777777778,0.5,0.6577777777777778,1.0,0.7935656836461126,0.5,classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,dummy_most_frequent,225,160,bound_mass_fraction_ge_0_1
0.9022222222222223,0.8727184977184977,0.89375,0.9662162162162162,0.9285714285714286,0.9048789048789049,0.9644444444444444,0.9573973323973324,0.9666666666666667,0.9797297297297297,0.9731543624161074,0.9974991224991225,classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,225,160,bound_mass_fraction_ge_0_1
0.9022222222222223,0.8758336258336259,0.8987341772151899,0.9594594594594594,0.9281045751633987,0.9348016848016848,0.9955555555555555,0.9935064935064934,0.9932885906040269,1.0,0.9966329966329966,1.0,classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,225,160,bound_mass_fraction_ge_0_1
0.8977777777777778,0.888030888030888,0.9251700680272109,0.918918918918919,0.9220338983050848,0.9251491751491752,0.9111111111111111,0.9012811512811513,0.9324324324324325,0.9324324324324325,0.9324324324324325,0.9756054756054756,classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,225,160,bound_mass_fraction_ge_0_1
0.6577777777777778,0.5,0.6577777777777778,1.0,0.7935656836461126,0.5,0.6577777777777778,0.5,0.6577777777777778,1.0,0.7935656836461126,0.5,classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,dummy_most_frequent,225,160,bound_mass_fraction_ge_0_1
0.8977777777777778,0.8693401193401193,0.8930817610062893,0.9594594594594594,0.9250814332247557,0.9104510354510355,0.9688888888888889,0.9638908388908389,0.9731543624161074,0.9797297297297297,0.9764309764309764,0.9954369954369955,classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,225,160,bound_mass_fraction_ge_0_1
0.9022222222222223,0.8758336258336259,0.8987341772151899,0.9594594594594594,0.9281045751633987,0.943050193050193,0.9911111111111112,0.9901281151281152,0.9932432432432432,0.9932432432432432,0.9932432432432432,0.9992541242541242,classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,225,160,bound_mass_fraction_ge_0_1
0.8977777777777778,0.888030888030888,0.9251700680272109,0.918918918918919,0.9220338983050848,0.9381800631800632,0.9111111111111111,0.9012811512811513,0.9324324324324325,0.9324324324324325,0.9324324324324325,0.9755616005616005,classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,225,160,bound_mass_fraction_ge_0_1
0.5528255528255528,0.5,0.5528255528255528,1.0,0.7120253164556962,0.5,0.5528255528255528,0.5,0.5528255528255528,1.0,0.7120253164556962,0.5,classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,dummy_most_frequent,407,279,has_any_bound_mass
0.8501228501228502,0.8492185592185593,0.8693693693693694,0.8577777777777778,0.8635346756152126,0.925030525030525,0.8574938574938575,0.8574603174603175,0.8812785388127854,0.8577777777777778,0.8693693693693694,0.9406837606837607,classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,logistic_regression,407,279,has_any_bound_mass
0.8968058968058968,0.8956410256410257,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.9705006105006105,0.9852579852579852,0.9861416361416362,0.995475113122172,0.9777777777777777,0.9865470852017937,0.9982417582417583,classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,random_forest_classifier,407,279,has_any_bound_mass
0.9287469287469288,0.9271550671550671,0.9298245614035088,0.9422222222222222,0.9359823399558499,0.9754212454212454,0.9901719901719902,0.9905860805860807,0.9955156950672646,0.9866666666666667,0.9910714285714286,0.9994505494505495,classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,gradient_boosting_classifier,407,279,has_any_bound_mass
0.5528255528255528,0.5,0.5528255528255528,1.0,0.7120253164556962,0.5,0.5528255528255528,0.5,0.5528255528255528,1.0,0.7120253164556962,0.5,classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,dummy_most_frequent,407,279,has_any_bound_mass
0.85995085995086,0.8591575091575092,0.8783783783783784,0.8666666666666667,0.87248322147651,0.9214163614163614,0.8746928746928747,0.8745909645909646,0.8954545454545455,0.8755555555555555,0.8853932584269663,0.9355555555555556,classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,logistic_regression,407,279,has_any_bound_mass
0.8845208845208845,0.8824297924297925,0.8903508771929824,0.9022222222222223,0.8962472406181016,0.9474481074481074,0.9606879606879607,0.9602442002442002,0.9644444444444444,0.9644444444444444,0.9644444444444444,0.9826617826617827,classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,random_forest_classifier,407,279,has_any_bound_mass
0.9164619164619164,0.9139438339438339,0.9134199134199135,0.9377777777777778,0.9254385964912281,0.9634432234432235,0.9754299754299754,0.9735775335775336,0.9653679653679653,0.9911111111111112,0.9780701754385965,0.9862515262515262,classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,gradient_boosting_classifier,407,279,has_any_bound_mass
