task,dataset,feature_set,target,model,bin,count,mean_score,actual_rate
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(325.8, 407.0]",82,0.9542046880078175,0.975609756097561
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(0.999, 82.2]",82,0.0036287908622029217,0.0
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(82.2, 163.4]",81,0.05685680179150595,0.012345679012345678
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(163.4, 244.6]",81,0.3059570337830072,0.12345679012345678
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(244.6, 325.8]",81,0.7195927599716925,0.7160493827160493
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(325.8, 407.0]",82,0.9599642135354262,0.9634146341463414
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(0.999, 82.2]",82,0.017637694374231794,0.0
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(82.2, 163.4]",81,0.06840868876486311,0.0
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(163.4, 244.6]",81,0.2449129794352508,0.06172839506172839
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(244.6, 325.8]",81,0.7217329234603059,0.8024691358024691
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(325.8, 407.0]",82,0.9292611933458059,0.9512195121951219
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,dummy_most_frequent,all,407,1.0,0.5528255528255528
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,gradient_boosting_classifier,"(0.999, 82.2]",82,0.024434242662323385,0.012195121951219513
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,gradient_boosting_classifier,"(82.2, 163.4]",81,0.15093336700531004,0.1111111111111111
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,gradient_boosting_classifier,"(163.4, 244.6]",81,0.7099161314398332,0.7160493827160493
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,gradient_boosting_classifier,"(244.6, 325.8]",81,0.916900555944443,0.9259259259259259
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,gradient_boosting_classifier,"(325.8, 407.0]",82,0.9713716893079386,1.0
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,logistic_regression,"(0.999, 82.2]",82,0.0449324583166968,0.012195121951219513
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,logistic_regression,"(82.2, 163.4]",81,0.2515751642238032,0.2716049382716049
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,logistic_regression,"(163.4, 244.6]",81,0.5627233528871324,0.654320987654321
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,logistic_regression,"(244.6, 325.8]",81,0.829720236928339,0.8518518518518519
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,logistic_regression,"(325.8, 407.0]",82,0.9693939239371994,0.975609756097561
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,random_forest_classifier,"(0.999, 82.2]",82,0.03566207766571195,0.012195121951219513
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,random_forest_classifier,"(82.2, 163.4]",81,0.2663080575338388,0.20987654320987653
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,random_forest_classifier,"(163.4, 244.6]",81,0.6132301226326932,0.6172839506172839
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,random_forest_classifier,"(244.6, 325.8]",81,0.8493417359392028,0.9506172839506173
classification,all_successful_runs,without_fof_linking_length,has_any_bound_mass,random_forest_classifier,"(325.8, 407.0]",82,0.9304659887100732,0.975609756097561
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,dummy_most_frequent,all,225,1.0,0.6577777777777778
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(0.999, 45.8]",45,0.00945804853317383,0.0
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(45.8, 90.6]",45,0.5116678778257097,0.4666666666666667
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(90.6, 135.4]",45,0.9762892729190922,0.9777777777777777
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(135.4, 180.2]",45,0.9919593018159955,0.8666666666666667
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(180.2, 225.0]",45,0.9953786663001701,0.9777777777777777
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(0.999, 45.8]",45,0.031925150509609555,0.0
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(45.8, 90.6]",45,0.36342461631711437,0.5333333333333333
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(90.6, 135.4]",45,0.7790379518168696,0.8888888888888888
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(135.4, 180.2]",45,0.9122212536363141,0.8888888888888888
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(180.2, 225.0]",45,0.9805272694893319,0.9777777777777777
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(0.999, 45.8]",45,0.105885008679033,0.022222222222222223
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(45.8, 90.6]",45,0.5190055433313733,0.5333333333333333
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(90.6, 135.4]",45,0.7978511720344812,0.9111111111111111
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(135.4, 180.2]",45,0.9081236635085481,0.9111111111111111
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(180.2, 225.0]",45,0.9638306199252461,0.9111111111111111
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,dummy_most_frequent,all,225,1.0,0.6577777777777778
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(0.999, 45.8]",45,0.00933167504717204,0.0
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(45.8, 90.6]",45,0.5138234669293062,0.5333333333333333
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(90.6, 135.4]",45,0.9760232228866023,0.8222222222222222
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(135.4, 180.2]",45,0.9921012605582593,0.9555555555555556
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(180.2, 225.0]",45,0.995350372057452,0.9777777777777777
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(0.999, 45.8]",45,0.03210466200273872,0.0
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(45.8, 90.6]",45,0.36471572843206984,0.5111111111111111
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(90.6, 135.4]",45,0.7814469746784789,0.8222222222222222
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(135.4, 180.2]",45,0.9090085903126012,0.9555555555555556
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(180.2, 225.0]",45,0.9761560874826957,1.0
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(0.999, 45.8]",45,0.15543654666556195,0.0
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(45.8, 90.6]",45,0.5100525188441365,0.5555555555555556
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(90.6, 135.4]",45,0.7929262072817604,0.9111111111111111
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(135.4, 180.2]",45,0.9005396784760398,0.8222222222222222
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(180.2, 225.0]",45,0.9552783158012076,1.0
