physical_file,periapsis_Rm,v_inf_kms,spin_axis,fold_index,actual_bmf_percent,predicted_bmf_percent,absolute_error_percentage_points,benchmark_random_forest_bmf,benchmark_disagreement
Ma_xp_A1950_n65_r12_v00_90000.hdf5,1.2,0.0,none,3,9.13288044802164,3.627969762961504,5.5049106850601355,0.001890876380209897,0.03438882124940514
Ma_xp_A1950_n65_r12_v00_90000.hdf5,1.2,0.0,none,3,9.133040188036,3.742588522787556,5.390451665248444,0.0023283510079225578,0.035097534219953
Ma_xp_A1950_n65_r12_v00_90000.hdf5,1.2,0.0,none,3,9.1330323679456,3.627969762961504,5.505062604984095,0.001890876380209897,0.03438882124940514
Ma_xp_A1950_n65_r12_v00_90000.hdf5,1.2,0.0,none,3,9.13280705900173,3.9502392583534887,5.182567800648242,0.0073294495522532414,0.03217294303128164
Ma_xp_A1950_n65_r12_v00_90000.hdf5,1.2,0.0,none,3,9.1330323679456,4.0055908942050005,5.127441473740599,0.008557453555380437,0.03149845538666957
Ma_xp_A1950_n65_r16_v00_90000.hdf5,1.6,0.0,none,2,0.0204120820913,7.363893404704301,7.343481322613001,0.09006141503472823,0.016422480987685215
Ma_xp_A1950_n65_r16_v00_90000.hdf5,1.6,0.0,none,2,0.02040516976449,8.221807395917937,8.201402226153446,0.09069058343955336,0.008472509480373994
Ma_xp_A1950_n65_r16_v00_90000.hdf5,1.6,0.0,none,2,0.0204120820913,7.363893404704301,7.343481322613001,0.09006141503472823,0.016422480987685215
Ma_xp_A1950_n65_r16_v00_90000.hdf5,1.6,0.0,none,2,0.02040236692261,8.120232384137227,8.099830017214616,0.0878426881579963,0.006640364316624028
Ma_xp_A1950_n65_r16_v00_90000.hdf5,1.6,0.0,none,2,0.02040344874098,8.124875076973856,8.104471628232876,0.08774339358713257,0.0064946428173940085
