dataset,feature_set,target,model,importance_type,rank,feature,importance
clean_subset,with_fof_linking_length,fragment_count_min_particles,ridge,absolute_coefficient,9,num__v_inf_kms,37.123505528073885
clean_subset,with_fof_linking_length,fragment_count_min_particles,ridge,absolute_coefficient,10,num__fof_linking_length,0.0
clean_subset,with_fof_linking_length,fragment_count_min_particles,ridge,absolute_coefficient,11,num__timestep,0.0
clean_subset,with_fof_linking_length,fragment_count_min_particles,ridge,absolute_coefficient,12,num__particle_log10,0.0
clean_subset,with_fof_linking_length,fragment_count_min_particles,ridge,absolute_coefficient,13,num__mass_log10_kg,0.0
clean_subset,with_fof_linking_length,fragment_count_min_particles,ridge,permutation_importance,1,spin_axis,168.717467999245
clean_subset,with_fof_linking_length,fragment_count_min_particles,ridge,permutation_importance,2,has_explicit_spin,90.33733979799787
clean_subset,with_fof_linking_length,fragment_count_min_particles,ridge,permutation_importance,3,periapsis_Rm,69.48546069394015
clean_subset,with_fof_linking_length,fragment_count_min_particles,ridge,permutation_importance,4,spin_period_hr,39.04868640219285
clean_subset,with_fof_linking_length,fragment_count_min_particles,ridge,permutation_importance,5,v_inf_kms,27.49158469114056
clean_subset,with_fof_linking_length,fragment_count_min_particles,ridge,permutation_importance,6,fof_linking_length,0.0
clean_subset,with_fof_linking_length,fragment_count_min_particles,ridge,permutation_importance,7,timestep,0.0
clean_subset,with_fof_linking_length,fragment_count_min_particles,ridge,permutation_importance,8,particle_log10,0.0
clean_subset,with_fof_linking_length,fragment_count_min_particles,ridge,permutation_importance,9,mass_log10_kg,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,1,num__periapsis_Rm,0.3951460069902466
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,2,cat__spin_axis_mz,0.2596283487499351
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,3,cat__spin_axis_z,0.20913047769506704
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,4,num__spin_period_hr,0.12075580316740928
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,5,num__v_inf_kms,0.004810620870606061
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,6,cat__spin_axis_y,0.004282969076028193
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,7,cat__spin_axis_none,0.0033019307594779586
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,8,num__has_explicit_spin,0.0022505175295085863
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,9,cat__spin_axis_x,0.0006933251617210515
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,10,num__fof_linking_length,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,11,num__timestep,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,12,num__particle_log10,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,model_feature_importance,13,num__mass_log10_kg,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,permutation_importance,1,periapsis_Rm,2.7001359023476224e+19
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,permutation_importance,2,spin_axis,8.32501540978522e+18
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,permutation_importance,3,spin_period_hr,3.950690413189853e+18
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,permutation_importance,4,v_inf_kms,1.1500921744969294e+18
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,permutation_importance,5,fof_linking_length,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,permutation_importance,6,timestep,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,permutation_importance,7,particle_log10,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,permutation_importance,8,mass_log10_kg,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,permutation_importance,9,has_explicit_spin,-1.0324016160754002e+17
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,model_feature_importance,1,num__periapsis_Rm,0.4190157492310393
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,model_feature_importance,2,cat__spin_axis_mz,0.24876504613162045
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,model_feature_importance,3,cat__spin_axis_z,0.17884391905100555
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,model_feature_importance,4,num__spin_period_hr,0.12013524872705757
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,model_feature_importance,5,num__v_inf_kms,0.021774581576505695
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,model_feature_importance,6,num__has_explicit_spin,0.005492521830696866
