feature_set,baseline_model,candidate_model,candidate_params_json,baseline_r2,candidate_r2,r2_gain,baseline_mae,candidate_mae,mae_reduction,baseline_fold_r2_std,candidate_fold_r2_std,promoted_model,promotion_reason,promote_tuned_model
with_fof_linking_length,baseline RF,random_forest,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 500}",0.8971269153614541,0.8982606378889042,0.0011337225274501428,0.0183938357467281,0.018553207575072034,-0.00015937182834393354,0.0338196431852574,0.03202466548663705,baseline RF,simplicity preferred,False
without_fof_linking_length,baseline RF,random_forest,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 500}",0.8425814207672061,0.8459291939837195,0.003347773216513361,0.0207709641260308,0.020815226975286864,-4.426284925606455e-05,0.0350252543865589,0.034731393440177616,baseline RF,simplicity preferred,False
