family,raw_parameter,note,baseline_r2,baseline_mae,ablation_r2,ablation_mae,delta_r2,delta_mae,removed_features,retained_feature_count
Periapsis,periapsis,Removes the direct closest-approach variable and all engineered features that depend on periapsis.,0.8983154665144086,0.02075296136689155,0.3941098635448922,0.05388044555201405,0.5042056029695164,0.0331274841851225,"[""periapsis_Rm"", ""encounter_eccentricity_proxy"", ""periapsis_inverse"", ""angular_momentum_proxy"", ""time_within_2_mars_radii_hr"", ""time_within_tidal_disruption_hr""]",15
Velocity,v_inf,Removes encounter speed and every engineered feature that explicitly uses velocity.,0.8983154665144086,0.02075296136689155,0.6194759341444798,0.04234918532308929,0.27883953236992887,0.02159622395619774,"[""v_inf_kms"", ""encounter_eccentricity_proxy"", ""v_inf_squared"", ""angular_momentum_proxy"", ""time_within_2_mars_radii_hr"", ""time_within_tidal_disruption_hr""]",15
Spin,spin,"Removes spin magnitude, axis, and spin helper transforms.",0.8983154665144086,0.02075296136689155,0.6403795011999953,0.03820660665790803,0.2579359653144133,0.017453645291016482,"[""spin_period_hr"", ""spin_axis"", ""has_explicit_spin"", ""spin_frequency_hr_inv"", ""has_spin""]",16
Mass,asteroid mass,Mass overlaps with radius because radius is deterministically derived from mass in the current pipeline.,0.8983154665144086,0.02075296136689155,0.8073177061351036,0.026805453624942167,0.09099776037930507,0.006052492258050619,"[""mass_log10_kg"", ""asteroid_radius_km"", ""particle_mass_proxy"", ""mass_resolution_interaction""]",17
FoF Linking Length,FoF linking length,"Included because it is currently supplied at inference time in the demo, even though it is a post-processing control rather than an encounter parameter.",0.8983154665144086,0.02075296136689155,0.8388004572716671,0.02368264568251064,0.05951500924274156,0.0029296843156190917,"[""fof_linking_length""]",20
Resolution,resolution,Resolution propagates into particle-mass and mass-resolution interaction features.,0.8983154665144086,0.02075296136689155,0.8971308926175294,0.020672986803140603,0.0011845738968792041,-7.997456375094525e-05,"[""particle_log10"", ""particle_mass_proxy"", ""mass_resolution_interaction""]",18
Radius,asteroid radius,"Radius is a deterministic mass-derived transform, so this family intentionally overlaps with mass.",0.8983154665144086,0.02075296136689155,0.8983449396911195,0.020720101873112268,-2.947317671087024e-05,-3.285949377928102e-05,"[""asteroid_radius_km""]",20
