target,model,transform,rows,r2,mae,rmse,fold_r2_mean,fold_r2_std,fold_mae_mean,fold_mae_std,fold_rmse_mean,fold_rmse_std,feature_set,selection_basis
bound_mass_fraction,random_forest,raw,407,0.8982606378889042,0.018553207575072034,0.02967926256471489,0.8920765993468553,0.03202466548663705,0.018556529693428754,0.0031059821329179967,0.029370046547890695,0.004367064600556026,with_fof_linking_length,best_tuned_candidate
bound_mass_fraction,random_forest,raw,407,0.8459291939837195,0.020815226975286857,0.03652319634500572,0.840944361122603,0.034731393440177644,0.02080662178623959,0.0040522525852323245,0.03605891194422219,0.0057100077527461775,without_fof_linking_length,best_tuned_candidate
