target,feature_set,model,params_json,r2,mae,rmse,fold_r2_mean,fold_r2_std,fold_mae_mean,fold_mae_std,fold_rmse_mean,fold_rmse_std
bound_mass_fraction,with_fof_linking_length,random_forest,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 300}",0.8587213640253235,0.026435751209340608,0.03497412414841156,0.8508901439683978,0.018930520324630384,0.02642891496158644,0.0021337958246354836,0.034883718500043945,0.0025300617606672745
bound_mass_fraction,with_fof_linking_length,random_forest,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 300}",0.8978184892813665,0.018582630866043826,0.029743684130915087,0.8916652374734408,0.030543387960948704,0.01858550462462223,0.003009439414186933,0.02946275112428558,0.0041695166426986615
bound_mass_fraction,with_fof_linking_length,random_forest,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""model"": ""random_forest"", ""n_estimators"": 300}",0.7591403170428928,0.03669253690281189,0.04566575642974834,0.7470990072402386,0.03003233454116263,0.03668053691582542,0.003140389814804988,0.04549887569251913,0.0038324757677622797
bound_mass_fraction,with_fof_linking_length,random_forest,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 4, ""model"": ""random_forest"", ""n_estimators"": 300}",0.8292781619454809,0.02512585454528439,0.038446175108786576,0.8217176415334018,0.04326002589092786,0.0251177864297983,0.004459860284951026,0.03804911342722907,0.00551128376885534
bound_mass_fraction,with_fof_linking_length,random_forest,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 300}",0.8379056208681761,0.02915737173646819,0.03746213964129657,0.8303775094767671,0.018097815660382377,0.029144352364430536,0.003142828324652111,0.037307587200971194,0.0033405781456932035
bound_mass_fraction,with_fof_linking_length,random_forest,"{""max_depth"": 10, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 300}",0.8950649949242218,0.01888613734773935,0.03014177298971425,0.8889845382067243,0.031585579081661784,0.01888908217151599,0.003031374741270809,0.029827878128185575,0.004420164702693836
bound_mass_fraction,with_fof_linking_length,random_forest,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""model"": ""random_forest"", ""n_estimators"": 300}",0.7541195137867667,0.03724270239139934,0.046139260796584876,0.7419303190883688,0.02948306864548329,0.03722993557184841,0.0032193746643258206,0.045972086935602695,0.0038485380784063533
bound_mass_fraction,with_fof_linking_length,random_forest,"{""max_depth"": 10, ""max_features"": 0.8, ""min_samples_leaf"": 4, ""model"": ""random_forest"", ""n_estimators"": 300}",0.8287487683082475,0.025213702671218786,0.03850573809961297,0.8210579044176007,0.04347835946779856,0.025205760620521954,0.0043318797420182605,0.038115490229771766,0.005474437311507186
bound_mass_fraction,with_fof_linking_length,random_forest,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 500}",0.8550762919452919,0.02676720521434615,0.035422427449322634,0.8470662320751678,0.021208954768557983,0.026760498384834047,0.002230344724136292,0.03531702505962335,0.0027563148914980426
bound_mass_fraction,with_fof_linking_length,random_forest,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 500}",0.8982606378889042,0.018553207575072034,0.02967926256471489,0.8920765993468553,0.03202466548663705,0.018556529693428754,0.003105982132917996,0.029370046547890695,0.004367064600556022
bound_mass_fraction,with_fof_linking_length,random_forest,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""model"": ""random_forest"", ""n_estimators"": 500}",0.7551801391595309,0.03711673537348609,0.04603964053305727,0.7430965539709024,0.030114321647401236,0.037103890259814316,0.0032328505349076735,0.045865952357655435,0.00391532945671935
bound_mass_fraction,with_fof_linking_length,random_forest,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 4, ""model"": ""random_forest"", ""n_estimators"": 500}",0.8292527786893711,0.02510905249624921,0.0384490331287352,0.8217525804332982,0.04565473787135425,0.025101180326615853,0.004568117538495593,0.03801686688145075,0.0057523097516772
bound_mass_fraction,with_fof_linking_length,random_forest,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 500}",0.835900130686559,0.02920498965278931,0.03769317478407659,0.8282155896132826,0.020358843590461136,0.029192455035037514,0.003070847209050541,0.0375302302897159,0.0034551129839233627
bound_mass_fraction,with_fof_linking_length,random_forest,"{""max_depth"": 10, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 500}",0.8959868884581085,0.018816207306645415,0.03000907748884157,0.8899369521515424,0.032949153493485976,0.018819469532838914,0.0031319110045510442,0.02966391976580666,0.004622156814919566
bound_mass_fraction,with_fof_linking_length,random_forest,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""model"": ""random_forest"", ""n_estimators"": 500}",0.7494772864749641,0.03766586555608986,0.04657277912849487,0.73736628993703,0.029837203263483242,0.03765178998811244,0.0033912779631282506,0.046390704416315834,0.004021516148745219
bound_mass_fraction,with_fof_linking_length,random_forest,"{""max_depth"": 10, ""max_features"": 0.8, ""min_samples_leaf"": 4, ""model"": ""random_forest"", ""n_estimators"": 500}",0.8288767889516305,0.02518035549489841,0.03849134272580594,0.8212381030445737,0.0457283812470365,0.02517268280484843,0.004476234897655004,0.03806751855973718,0.005704472510821127
bound_mass_fraction,with_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 100, ""subsample"": 0.9}",0.7350885324891157,0.03915022931920213,0.04789155957736734,0.723434641215196,0.011494390138047485,0.03913055085591442,0.003793430360752024,0.04771291376330279,0.0039173563575381895
bound_mass_fraction,with_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 100, ""subsample"": 1.0}",0.7191424563821274,0.04025302317475083,0.04931188989361607,0.7061320119727945,0.008495020161455225,0.04023300576595158,0.0037361319388421453,0.049159890166116146,0.0036357427196749247
bound_mass_fraction,with_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 100, ""subsample"": 0.9}",0.853544723530332,0.02689121964680914,0.0356091094263274,0.8485682367153963,0.018071935136845633,0.026872458164250723,0.0037532327478107383,0.0353327468851347,0.004263785087670017
bound_mass_fraction,with_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 100, ""subsample"": 1.0}",0.8446502175663847,0.027875561389979417,0.03667447667503464,0.8389791782555328,0.016443065204207574,0.02785727306714721,0.003552072871812181,0.0364315602309593,0.004050028875991322
bound_mass_fraction,with_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.1, ""max_depth"": 2, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 100, ""subsample"": 0.9}",0.8147246996246209,0.031542719043813394,0.04005136885317586,0.807598461367065,0.01772537976648026,0.03152336827043543,0.003572610785339344,0.03980950390302583,0.004188589273285398
bound_mass_fraction,with_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.1, ""max_depth"": 2, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 100, ""subsample"": 1.0}",0.8065180246572916,0.032358436313761535,0.040928785429168335,0.7979784453251595,0.013712702559611836,0.03234232275351588,0.002890240372632377,0.04075761521035768,0.0035297051747140437
