target,model,feature_set,rows,r2,mae,rmse,fold_r2_mean,fold_r2_std,fold_mae_mean,fold_mae_std,fold_rmse_mean,fold_rmse_std
bound_mass_fraction,gradient_boosting,with_fof_linking_length,407,0.8840148582812355,0.022750379689608313,0.031689090840589476,0.8792795361418089,0.011720285410810353,0.022741152776785418,0.0017332979004559118,0.03151198411331587,0.003201802957553899
bound_mass_fraction,gradient_boosting,without_fof_linking_length,407,0.8377929321812201,0.024421184872556245,0.03747515929655198,0.8341566588775603,0.03827992100324652,0.024399902332186273,0.003784058849591025,0.036891102376746004,0.006390610553081397
bound_mass_fraction,random_forest,with_fof_linking_length,407,0.8971269153614541,0.018393835746728145,0.029844168399185148,0.8906747616270667,0.03381964318525746,0.01839776499887177,0.0032363341024491264,0.029509929350058795,0.004550852535953978
bound_mass_fraction,random_forest,without_fof_linking_length,407,0.8425814207672061,0.02077096412603085,0.036917866493093025,0.837441967082692,0.035025254386558916,0.020763916562484,0.003971257515370378,0.03645935671469412,0.005707096255718408
bound_mass_fraction,ridge,with_fof_linking_length,407,0.6725075311196393,0.04350587349449202,0.05324873063744105,0.654648345424233,0.03731789877473437,0.043498964701955856,0.002076999539923737,0.0531091283096638,0.0035805955610306085
bound_mass_fraction,ridge,without_fof_linking_length,407,0.6665619986449092,0.04386249051257463,0.053729914290103764,0.6491687757021569,0.037338600549105455,0.0438545072523569,0.0022795371670823973,0.05355731068027218,0.004015476913093474
largest_fragment_mass_kg,gradient_boosting,with_fof_linking_length,407,0.44176025843144195,1.1094882745889178e+19,3.3920758633795793e+19,0.33353503039061094,0.89182433564888,1.1067520828994048e+19,4.71463064507058e+18,2.7456793034353283e+19,1.9732472297014297e+19
largest_fragment_mass_kg,gradient_boosting,without_fof_linking_length,407,0.34036409527225187,1.379333503120271e+19,3.687290245463261e+19,0.15830888648828476,0.9845299378432785,1.3770539980675912e+19,4.125612602951382e+18,3.23992042458781e+19,1.7392621488327571e+19
largest_fragment_mass_kg,random_forest,with_fof_linking_length,407,0.43579815949899126,9.344613159083426e+18,3.410141739154552e+19,0.37332603147385035,0.7802196732672474,9.31772488392269e+18,4.641364853822488e+18,2.7687293907016954e+19,1.972185568217857e+19
largest_fragment_mass_kg,random_forest,without_fof_linking_length,407,0.359788974513333,1.2771092187754375e+19,3.6325931167540716e+19,0.2525725223654267,0.7106106444262836,1.2753599564513448e+19,3.385738683275586e+18,3.2450761451613204e+19,1.611984201460502e+19
largest_fragment_mass_kg,ridge,with_fof_linking_length,407,0.3725690666242999,2.074825364716521e+19,3.5961528638555984e+19,0.4594819560243528,0.1331420642835924,2.073830039163181e+19,3.3846306278217416e+18,3.178316264465365e+19,1.6665265137918984e+19
largest_fragment_mass_kg,ridge,without_fof_linking_length,407,0.33458329965391076,2.1684054286719857e+19,3.703411998773747e+19,0.4177707381650195,0.11742381186366598,2.1678041333769036e+19,2.865696279509287e+18,3.2974086237016347e+19,1.6701974727227668e+19
largest_fragment_particle_count,gradient_boosting,with_fof_linking_length,407,0.8974169381541646,206230.45625852206,347269.59232263145,0.8872634470869244,0.06984978026568069,205960.13632615347,47538.512215509196,336839.1806217275,82523.29378885421
largest_fragment_particle_count,gradient_boosting,without_fof_linking_length,407,0.7765389383017692,276500.9573436353,512542.469869991,0.7712767490354694,0.07173346673976266,276595.25796020555,44013.10411999547,505437.87561790086,86908.20769144154
largest_fragment_particle_count,random_forest,with_fof_linking_length,407,0.8467817831590635,220059.46507763796,424408.5556913876,0.832492823761144,0.08700099305077982,219825.03172901802,42547.9638996418,416056.2755750014,81924.8551519496
largest_fragment_particle_count,random_forest,without_fof_linking_length,407,0.7059241101683038,294539.75080701883,587974.6988637033,0.6930198632440673,0.08895361346966127,294601.6733950212,35944.47102019676,584361.2905631051,66930.79170025943
largest_fragment_particle_count,ridge,with_fof_linking_length,407,0.6201730725975443,519617.49582070083,668223.5905060543,0.6110000004652234,0.04534221883644198,519638.54364331753,21424.600590164053,666846.4561238191,42942.65599645597
largest_fragment_particle_count,ridge,without_fof_linking_length,407,0.5799451689798256,533889.1072384404,702719.3629399667,0.5739588649531303,0.0191289942070384,534065.8941780914,31380.375896888047,700710.3252713715,55104.8196407557
n_fragments,gradient_boosting,with_fof_linking_length,407,0.7582399012441763,205.2128980851321,465.2268090163449,0.6947822447496834,0.1624502272937666,204.99251004537751,40.22295930221323,451.3252754909423,110.70566673198435
n_fragments,gradient_boosting,without_fof_linking_length,407,0.2717581941923588,326.484906624257,807.4399333865185,0.29184725756350327,0.20534664484902887,325.89508679572975,101.9873502929817,751.9094409430443,290.1186896376571
n_fragments,random_forest,with_fof_linking_length,407,0.7733958105814231,177.19369928263114,450.40830363276,0.6816848707587843,0.15221671289747402,176.99656193355423,36.60832594980316,448.1666197682292,42.224395185039526
n_fragments,random_forest,without_fof_linking_length,407,0.25267719080584594,303.11479764452383,817.9495916423158,0.22469715459150302,0.17245455007107272,302.53266620516564,102.34094426996664,775.651172943836,255.33831268961433
n_fragments,ridge,with_fof_linking_length,407,0.18951662687858906,455.07326340947156,851.8134162197828,0.14065954928843458,0.09260274012441339,454.5683706709345,89.24270921561404,813.7303736035816,247.04666143731222
n_fragments,ridge,without_fof_linking_length,407,0.15892437214380395,445.2657185751597,867.7406550482983,0.12322140249672861,0.11995458111465254,444.72947136927644,95.2058055719485,825.4771369949294,262.703778035421
