target,model,transform,rows,r2,mae,rmse,fold_r2_mean,fold_r2_std,fold_mae_mean,fold_mae_std,fold_rmse_mean,fold_rmse_std
n_fragments,random_forest,raw,407,0.6477067969945225,230.58411871288703,561.596707775082,0.6513368776743294,0.06365702190121574,230.14920873118626,73.02605633503158,526.804754270662,191.4845850893188
n_fragments,random_forest,log1p,407,0.29494346070527366,249.39701584859299,794.4826062832387,0.3020043297216167,0.06156249015861724,248.78537159087878,101.91837507472724,746.4543325377092,267.4442293972999
largest_fragment_mass_kg,random_forest,raw,407,0.49782784309151573,1.0935215003787377e+19,3.2172254521427333e+19,0.5858457283350087,0.34626364210925364,1.0916523926307062e+19,4.0040331507507195e+18,2.5996471034500964e+19,1.878880692805549e+19
largest_fragment_mass_kg,random_forest,log1p,407,0.4021633006459481,1.3246980693831913e+19,3.510318047305541e+19,0.5247816467361639,0.15734081454032886,1.3242947367615906e+19,3.388550065707358e+18,3.026292049814131e+19,1.7640373039532122e+19
largest_fragment_particle_count,random_forest,raw,407,0.7871183674870067,308647.3061997556,500262.58678939444,0.7761593383368494,0.0751526678629706,308565.3525883945,22515.92904575681,496213.3352878576,60961.06964372363
largest_fragment_particle_count,random_forest,log1p,407,0.6367917671712606,347209.1512196113,653441.5864981407,0.622952700484231,0.08120927234336393,347353.6896131005,29465.232144856815,650912.2734820087,56328.99235872046
largest_fragment_mass_fraction,random_forest,raw,407,0.8364726152988712,0.08691346325625718,0.12971480119360618,0.8272955848795753,0.048466229204695614,0.08691586602017509,0.010493395307506972,0.12903496018430682,0.01294590914452585
largest_fragment_mass_fraction,random_forest,log1p,407,0.8255754106334603,0.08646144147091403,0.1339670960434051,0.8154346279293385,0.047575536527171676,0.08648019931151422,0.00832016340127964,0.1335160547590637,0.010657964877670097
