dataset,target,model__with_fof_linking_length,model__without_fof_linking_length,test_mae__with_fof_linking_length,test_mae__without_fof_linking_length,test_r2__with_fof_linking_length,test_r2__without_fof_linking_length,test_rmse__with_fof_linking_length,test_rmse__without_fof_linking_length,mae_delta_without_minus_with,r2_delta_with_minus_without
clean_subset,fragment_count_min_particles,gradient_boosting,gradient_boosting,127.39546799592488,127.39546799592485,0.8719249569515712,0.8719249569515712,289.94819182578976,289.94819182578976,-2.842170943040401e-14,0.0
clean_subset,largest_fragment_mass_kg,gradient_boosting,gradient_boosting,8.25296606804032e+18,8.254951316202414e+18,0.8163477394308182,0.8143801857837525,1.3920053896798988e+19,1.399442130915724e+19,1985248162094080.0,0.0019675536470656896
clean_subset,largest_fragment_particle_count,random_forest,random_forest,261654.61441964968,261170.67073034061,0.8300778815800043,0.8303296414362927,426186.8278321874,425870.98752776615,-483.9436893090606,-0.0002517598562884471
full,fragment_count_min_particles,random_forest,gradient_boosting,131.5205873191434,206.45356726104987,0.7365385357928225,0.6868124435396861,277.2701063571621,302.3059865944804,74.93297994190647,0.0497260922531364
full,largest_fragment_mass_kg,gradient_boosting,gradient_boosting,7.154710886347281e+18,1.099613216749011e+19,0.8849501930288157,0.657085292264199,1.2178811684098925e+19,2.1025920805989556e+19,3.841421281142828e+18,0.22786490076461674
full,largest_fragment_particle_count,gradient_boosting,gradient_boosting,208553.9578091623,254521.75963513786,0.9019873295842966,0.7425520705966988,375799.13545129553,609059.0030519138,45967.80182597556,0.1594352589875978
