dataset,feature_set,target,model,train_mae,test_mae,mae_gap,train_rmse,test_rmse,rmse_gap,train_r2,test_r2,r2_gap
full,with_fof_linking_length,fragment_count_min_particles,ridge,423.3740466790979,311.8796055186729,-111.49444116042497,825.6209040920479,479.9766790570031,-345.6442250350448,0.2188526153395418,0.2105015600559561,0.008351055283585707
full,with_fof_linking_length,largest_fragment_mass_kg,dummy_mean,2.7047395391241884e+19,2.9237782108706853e+19,2.1903867174649692e+18,4.387332152943435e+19,3.6043937927287603e+19,-7.829383602146746e+18,0.0,-0.0077215132131107644,0.0077215132131107644
full,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,5.207834992237296e+18,7.154710886347281e+18,1.9468758941099858e+18,7.77256995095466e+18,1.2178811684098925e+19,4.4062417331442647e+18,0.968614558033136,0.8849501930288157,0.08366436500432028
full,with_fof_linking_length,largest_fragment_mass_kg,random_forest,3.960746730008387e+18,1.1083140368736844e+19,7.122393638728456e+18,1.4332394767811543e+19,3.45939672453328e+19,2.0261572477521256e+19,0.8932822908998157,0.07172468076247884,0.8215576101373369
full,with_fof_linking_length,largest_fragment_mass_kg,ridge,1.9500933775012536e+19,1.9609083100086247e+19,1.081493250737111e+17,3.355266924310623e+19,2.4035647023340995e+19,-9.517022219765236e+18,0.415138381800769,0.551886839249826,-0.13674845744905695
full,with_fof_linking_length,largest_fragment_particle_count,dummy_mean,839296.7955599453,993056.0916801502,153759.29612020496,1043569.0525552104,1220169.5153915707,176600.46283636033,0.0,-0.03326331275732519,0.03326331275732519
full,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,139925.27938877765,208553.9578091623,68628.67842038465,226090.97257354044,375799.13545129553,149708.1628777551,0.9530620561378541,0.9019873295842966,0.05107472655355749
full,with_fof_linking_length,largest_fragment_particle_count,random_forest,111477.29468160153,233418.02805918525,121940.73337758372,227051.35390557806,443853.9575901691,216802.60368459104,0.9526624464975211,0.8632740776294602,0.0893883688680609
full,with_fof_linking_length,largest_fragment_particle_count,ridge,501052.72510943556,559605.8417723489,58553.11666291329,634461.0154413012,714294.2372627789,79833.22182147775,0.6303697542654135,0.6459007870840425,-0.015531032818628998
full,without_fof_linking_length,fragment_count_min_particles,dummy_mean,433.14969159019114,338.6975311863876,-94.45216040380353,934.1447748244873,548.7311588343385,-385.41361599014874,0.0,-0.03188249801306564,0.03188249801306564
full,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,275.7430991441853,206.45356726104987,-69.28953188313542,746.5403720841011,302.3059865944804,-444.23438548962076,0.36132749522688346,0.6868124435396861,-0.3254849483128026
full,without_fof_linking_length,fragment_count_min_particles,random_forest,263.68019322276433,248.51658343335112,-15.163609789413215,743.2951937329757,411.322757172481,-331.9724365604947,0.36686798975083756,0.4202023113736715,-0.05333432162283391
full,without_fof_linking_length,fragment_count_min_particles,ridge,408.4208716600694,311.47001271541626,-96.95085894465313,844.8462453361493,468.4469332532785,-376.39931208287084,0.18204958168800234,0.24797582245237704,-0.0659262407643747
full,without_fof_linking_length,largest_fragment_mass_kg,dummy_mean,2.7047395391241884e+19,2.9237782108706853e+19,2.1903867174649692e+18,4.387332152943435e+19,3.6043937927287603e+19,-7.829383602146746e+18,0.0,-0.0077215132131107644,0.0077215132131107644
full,without_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,7.312651401975682e+18,1.099613216749011e+19,3.6834807655144274e+18,1.2911613692003099e+19,2.1025920805989556e+19,8.114307113986458e+18,0.913391599574998,0.657085292264199,0.25630630731079906
full,without_fof_linking_length,largest_fragment_mass_kg,random_forest,6.890846889202434e+18,1.509140800634111e+19,8.200561117138676e+18,1.8480574672079323e+19,3.706717157274439e+19,1.8586596900665065e+19,0.8225688309409365,-0.06574906535569514,0.8883178962966316
full,without_fof_linking_length,largest_fragment_mass_kg,ridge,2.0314398913598726e+19,1.9678292929607877e+19,-6.361059839908495e+17,3.4652472499752337e+19,2.4421982203455e+19,-1.0230490296297337e+19,0.37616832064329475,0.5373656400240229,-0.16119731938072812
full,without_fof_linking_length,largest_fragment_particle_count,dummy_mean,839296.7955599453,993056.0916801502,153759.29612020496,1043569.0525552104,1220169.5153915707,176600.46283636033,0.0,-0.03326331275732519,0.03326331275732519
full,without_fof_linking_length,largest_fragment_particle_count,gradient_boosting,197955.85403746783,254521.75963513786,56565.90559767003,393726.0107910894,609059.0030519138,215332.99226082442,0.8576538156055262,0.7425520705966988,0.11510174500882742
full,without_fof_linking_length,largest_fragment_particle_count,random_forest,194869.98024611594,333793.5076981835,138923.52745206753,406007.3888920575,681145.5412478826,275138.1523558251,0.8486349907480326,0.6780039791137724,0.1706310116342602
full,without_fof_linking_length,largest_fragment_particle_count,ridge,515966.1988062745,552265.1526630815,36298.95385680703,667580.1248945631,750891.7670833142,83311.64218875114,0.5907728736393177,0.6086860287084155,-0.01791315506909774
