dataset,target,model,importance_type,rank,feature,importance
clean_subset,largest_fragment_mass_kg,random_forest,model_feature_importance,5,num__v_inf_kms,0.021774581576505695
clean_subset,largest_fragment_mass_kg,random_forest,model_feature_importance,6,num__has_explicit_spin,0.005492521830696866
clean_subset,largest_fragment_mass_kg,random_forest,model_feature_importance,7,cat__spin_axis_none,0.002634539301976753
clean_subset,largest_fragment_mass_kg,random_forest,model_feature_importance,8,cat__spin_axis_x,0.0016879973334961362
clean_subset,largest_fragment_mass_kg,random_forest,model_feature_importance,9,cat__spin_axis_y,0.0016503968166017588
clean_subset,largest_fragment_mass_kg,random_forest,model_feature_importance,10,num__fof_linking_length,0.0
clean_subset,largest_fragment_mass_kg,random_forest,model_feature_importance,11,num__timestep,0.0
clean_subset,largest_fragment_mass_kg,random_forest,model_feature_importance,12,num__particle_log10,0.0
clean_subset,largest_fragment_mass_kg,random_forest,model_feature_importance,13,num__mass_log10_kg,0.0
clean_subset,largest_fragment_mass_kg,random_forest,permutation_importance,1,periapsis_Rm,2.3375428934608015e+19
clean_subset,largest_fragment_mass_kg,random_forest,permutation_importance,2,spin_axis,7.831659346706129e+18
clean_subset,largest_fragment_mass_kg,random_forest,permutation_importance,3,spin_period_hr,3.516835383236414e+18
clean_subset,largest_fragment_mass_kg,random_forest,permutation_importance,4,v_inf_kms,1.5491996649076475e+18
clean_subset,largest_fragment_mass_kg,random_forest,permutation_importance,5,has_explicit_spin,2.287746390657154e+17
clean_subset,largest_fragment_mass_kg,random_forest,permutation_importance,6,timestep,-4198.4
clean_subset,largest_fragment_mass_kg,random_forest,permutation_importance,7,fof_linking_length,-4300.8
clean_subset,largest_fragment_mass_kg,random_forest,permutation_importance,8,particle_log10,-4710.4
clean_subset,largest_fragment_mass_kg,random_forest,permutation_importance,9,mass_log10_kg,-5427.2
clean_subset,largest_fragment_mass_kg,ridge,absolute_coefficient,1,cat__spin_axis_mz,4.143994047644275e+19
clean_subset,largest_fragment_mass_kg,ridge,absolute_coefficient,2,cat__spin_axis_z,2.9008320277372334e+19
clean_subset,largest_fragment_mass_kg,ridge,absolute_coefficient,3,num__periapsis_Rm,2.1752551987450032e+19
clean_subset,largest_fragment_mass_kg,ridge,absolute_coefficient,4,cat__spin_axis_y,6.534857392325861e+18
clean_subset,largest_fragment_mass_kg,ridge,absolute_coefficient,5,cat__spin_axis_x,6.179063905669705e+18
clean_subset,largest_fragment_mass_kg,ridge,absolute_coefficient,6,num__has_explicit_spin,6.905431390142084e+17
clean_subset,largest_fragment_mass_kg,ridge,absolute_coefficient,7,num__spin_period_hr,6.735383538923052e+17
clean_subset,largest_fragment_mass_kg,ridge,absolute_coefficient,8,cat__spin_axis_none,2.8230109892381984e+17
clean_subset,largest_fragment_mass_kg,ridge,absolute_coefficient,9,num__v_inf_kms,1.888426944430874e+17
clean_subset,largest_fragment_mass_kg,ridge,absolute_coefficient,10,num__fof_linking_length,0.0
clean_subset,largest_fragment_mass_kg,ridge,absolute_coefficient,11,num__timestep,0.0
clean_subset,largest_fragment_mass_kg,ridge,absolute_coefficient,12,num__particle_log10,0.0
clean_subset,largest_fragment_mass_kg,ridge,absolute_coefficient,13,num__mass_log10_kg,0.0
clean_subset,largest_fragment_mass_kg,ridge,permutation_importance,1,periapsis_Rm,1.8048258066347223e+19
clean_subset,largest_fragment_mass_kg,ridge,permutation_importance,2,spin_axis,4.3299155471802476e+18
clean_subset,largest_fragment_mass_kg,ridge,permutation_importance,3,spin_period_hr,5.600230946856591e+16
clean_subset,largest_fragment_mass_kg,ridge,permutation_importance,4,has_explicit_spin,409.6
