mass_code,spin_code,spin_orientation,spin_period_hr,resolution_code,periapsis_code,periapsis_rm,velocity_code,v_inf_kms,v_inf_source,timestep,fof_linking_length,physical_output_type,physical_snapshot_date,physical_file,scenario_name,fof_file,row_count_aggregated,physical_file_count,n_fragments,n_fragments_min,n_fragments_max,total_fragment_mass_kg,total_fragment_mass_kg_min,total_fragment_mass_kg_max,bound_fragment_count,bound_fragment_count_min,bound_fragment_count_max,bound_mass_kg,bound_mass_kg_min,bound_mass_kg_max,bound_mass_fraction,bound_mass_fraction_min,bound_mass_fraction_max,largest_bound_fragment_mass_kg,largest_bound_fragment_mass_kg_min,largest_bound_fragment_mass_kg_max,unbound_fragment_count,unbound_fragment_count_min,unbound_fragment_count_max,unbound_mass_kg,unbound_mass_kg_min,unbound_mass_kg_max,unbound_mass_fraction,unbound_mass_fraction_min,unbound_mass_fraction_max,largest_unbound_fragment_mass_kg,largest_unbound_fragment_mass_kg_min,largest_unbound_fragment_mass_kg_max
A1850,,no_spin,,n60,r12,1.2,v00,0.0,physical_snapshot_filename,90000,0.0014,FullVolume,18:58:31 2022-04-21 BST,Ma_xp_A1850_n60_r12_v00_90000.hdf5,Ma_xp_A1850_n60_r12_v00_90000,Ma_xp_A1850_n60_r12_v00_90000_fof_0.0014_0000.hdf5,1,1,132,132,132,3.15259924965e+18,3.15259924965e+18,3.15259924965e+18,0,0,0,0,0,0,0,0,0,0,0,0,132,132,132,3.15259924965e+18,3.15259924965e+18,3.15259924965e+18,1,1,1,1.74053362233e+17,1.74053362233e+17,1.74053362233e+17
A1850,,no_spin,,n60,r12,1.2,v00,0.0,physical_snapshot_filename,90000,0.0019,FullVolume,18:58:31 2022-04-21 BST,Ma_xp_A1850_n60_r12_v00_90000.hdf5,Ma_xp_A1850_n60_r12_v00_90000,Ma_xp_A1850_n60_r12_v00_90000_fof_0.0019_0000.hdf5,1,1,135,135,135,3.15458834086e+18,3.15458834086e+18,3.15458834086e+18,0,0,0,0,0,0,0,0,0,0,0,0,135,135,135,3.15458834086e+18,3.15458834086e+18,3.15458834086e+18,1,1,1,1.74075428221e+17,1.74075428221e+17,1.74075428221e+17
A1850,,no_spin,,n60,r12,1.2,v00,0.0,physical_snapshot_filename,90000,0.002,FullVolume,18:58:31 2022-04-21 BST,Ma_xp_A1850_n60_r12_v00_90000.hdf5,Ma_xp_A1850_n60_r12_v00_90000,Ma_xp_A1850_n60_r12_v00_90000_fof_0.002_0000.hdf5,1,1,135,135,135,3.15474910735e+18,3.15474910735e+18,3.15474910735e+18,0,0,0,0,0,0,0,0,0,0,0,0,135,135,135,3.15474910735e+18,3.15474910735e+18,3.15474910735e+18,1,1,1,1.74075428221e+17,1.74075428221e+17,1.74075428221e+17
A1850,,no_spin,,n60,r12,1.2,v00,0.0,physical_snapshot_filename,90000,0.0024,FullVolume,18:58:31 2022-04-21 BST,Ma_xp_A1850_n60_r12_v00_90000.hdf5,Ma_xp_A1850_n60_r12_v00_90000,Ma_xp_A1850_n60_r12_v00_90000_fof_0.0024_0000.hdf5,1,1,135,135,135,3.15520934082e+18,3.15520934082e+18,3.15520934082e+18,0,0,0,0,0,0,0,0,0,0,0,0,135,135,135,3.15520934082e+18,3.15520934082e+18,3.15520934082e+18,1,1,1,1.74084885073e+17,1.74084885073e+17,1.74084885073e+17
A1850,,no_spin,,n60,r16,1.6,v00,0.0,physical_snapshot_filename,90000,0.0014,FullVolume,04:04:06 2022-04-25 BST,Ma_xp_A1850_n60_r16_v00_90000.hdf5,Ma_xp_A1850_n60_r16_v00_90000,Ma_xp_A1850_n60_r16_v00_90000_fof_0.0014_0000.hdf5,1,1,61,61,61,3.15722049802e+18,3.15722049802e+18,3.15722049802e+18,0,0,0,0,0,0,0,0,0,0,0,0,61,61,61,3.15722049802e+18,3.15722049802e+18,3.15722049802e+18,1,1,1,6.63322517455e+17,6.63322517455e+17,6.63322517455e+17
A1850,,no_spin,,n60,r16,1.6,v00,0.0,physical_snapshot_filename,90000,0.0019,FullVolume,04:04:06 2022-04-25 BST,Ma_xp_A1850_n60_r16_v00_90000.hdf5,Ma_xp_A1850_n60_r16_v00_90000,Ma_xp_A1850_n60_r16_v00_90000_fof_0.0019_0000.hdf5,1,1,61,61,61,3.15805900557e+18,3.15805900557e+18,3.15805900557e+18,0,0,0,0,0,0,0,0,0,0,0,0,61,61,61,3.15805900557e+18,3.15805900557e+18,3.15805900557e+18,1,1,1,6.63331974307e+17,6.63331974307e+17,6.63331974307e+17
A1850,,no_spin,,n60,r16,1.6,v00,0.0,physical_snapshot_filename,90000,0.002,FullVolume,04:04:06 2022-04-25 BST,Ma_xp_A1850_n60_r16_v00_90000.hdf5,Ma_xp_A1850_n60_r16_v00_90000,Ma_xp_A1850_n60_r16_v00_90000_fof_0.002_0000.hdf5,1,1,61,61,61,3.15809998527e+18,3.15809998527e+18,3.15809998527e+18,0,0,0,0,0,0,0,0,0,0,0,0,61,61,61,3.15809998527e+18,3.15809998527e+18,3.15809998527e+18,1,1,1,6.63331974307e+17,6.63331974307e+17,6.63331974307e+17
A1850,,no_spin,,n60,r16,1.6,v00,0.0,physical_snapshot_filename,90000,0.0024,FullVolume,04:04:06 2022-04-25 BST,Ma_xp_A1850_n60_r16_v00_90000.hdf5,Ma_xp_A1850_n60_r16_v00_90000,Ma_xp_A1850_n60_r16_v00_90000_fof_0.0024_0000.hdf5,1,1,61,61,61,3.1581724878e+18,3.1581724878e+18,3.1581724878e+18,0,0,0,0,0,0,0,0,0,0,0,0,61,61,61,3.1581724878e+18,3.1581724878e+18,3.1581724878e+18,1,1,1,6.63331974307e+17,6.63331974307e+17,6.63331974307e+17
A1900,,no_spin,,n50,r12,1.2,v00,0.0,physical_snapshot_filename,90000,0.006,FullVolume,22:56:43 2022-03-06 GMT,Ma_xp_A1900_n50_r12_v00_90000.hdf5,Ma_xp_A1900_n50_r12_v00_90000,Ma_xp_A1900_n50_r12_v00_90000_fof_0.006_0000.hdf5,1,1,47,47,47,9.97711377992e+18,9.97711377992e+18,9.97711377992e+18,0,0,0,0,0,0,0,0,0,0,0,0,47,47,47,9.97711377992e+18,9.97711377992e+18,9.97711377992e+18,1,1,1,9.54593573754e+17,9.54593573754e+17,9.54593573754e+17
A1900,,no_spin,,n55,r12,1.2,v00,0.0,physical_snapshot_filename,90000,0.004,FullVolume,07:30:32 2022-03-07 GMT,Ma_xp_A1900_n55_r12_v00_90000.hdf5,Ma_xp_A1900_n55_r12_v00_90000,Ma_xp_A1900_n55_r12_v00_90000_fof_0.004_0000.hdf5,1,1,72,72,72,9.98386401306e+18,9.98386401306e+18,9.98386401306e+18,0,0,0,0,0,0,0,0,0,0,0,0,72,72,72,9.98386401306e+18,9.98386401306e+18,9.98386401306e+18,1,1,1,9.02370612044e+17,9.02370612044e+17,9.02370612044e+17
A1900,,no_spin,,n60,r12,1.2,v00,0.0,physical_snapshot_filename,90000,0.003,FullVolume,15:11:00 2022-03-10 GMT,Ma_xp_A1900_n60_r12_v00_90000.hdf5,Ma_xp_A1900_n60_r12_v00_90000,Ma_xp_A1900_n60_r12_v00_90000_fof_0.003_0000.hdf5,1,1,123,123,123,9.98848756743e+18,9.98848756743e+18,9.98848756743e+18,1,1,1,1.83544827289e+17,1.83544827289e+17,1.83544827289e+17,0.0183756375578,0.0183756375578,0.0183756375578,1.83544827289e+17,1.83544827289e+17,1.83544827289e+17,122,122,122,9.80494274015e+18,9.80494274015e+18,9.80494274015e+18,0.981624362442,0.981624362442,0.981624362442,6.40303258437e+17,6.40303258437e+17,6.40303258437e+17
A1900,,no_spin,,n65,r12,1.2,v00,0.0,physical_snapshot_filename,90000,0.0019,FullVolume,09:29:32 2022-04-30 BST,Ma_xp_A1900_n65_r12_v00_90000.hdf5,Ma_xp_A1900_n65_r12_v00_90000,Ma_xp_A1900_n65_r12_v00_90000_fof_0.0019_0000.hdf5,1,1,219,219,219,9.98850818593e+18,9.98850818593e+18,9.98850818593e+18,0,0,0,0,0,0,0,0,0,0,0,0,219,219,219,9.98850818593e+18,9.98850818593e+18,9.98850818593e+18,1,1,1,7.12715026042e+17,7.12715026042e+17,7.12715026042e+17
A1900,,no_spin,,n65,r12,1.2,v00,0.0,physical_snapshot_filename,90000,0.002,FullVolume,09:29:32 2022-04-30 BST,Ma_xp_A1900_n65_r12_v00_90000.hdf5,Ma_xp_A1900_n65_r12_v00_90000,Ma_xp_A1900_n65_r12_v00_90000_fof_0.002_0000.hdf5,1,1,219,219,219,9.98878387378e+18,9.98878387378e+18,9.98878387378e+18,0,0,0,0,0,0,0,0,0,0,0,0,219,219,219,9.98878387378e+18,9.98878387378e+18,9.98878387378e+18,1,1,1,7.12715026042e+17,7.12715026042e+17,7.12715026042e+17
