fof_file,physical_file,mass_code,resolution_code,periapsis_code,velocity_code,spin_code,timestep,fof_linking_length,n_fragments,total_fragment_mass_kg,bound_fragment_count,bound_mass_kg,bound_mass_fraction,largest_bound_fragment_mass_kg,unbound_fragment_count,unbound_mass_kg,unbound_mass_fraction,largest_unbound_fragment_mass_kg,physical_path,physical_exists,fof_filename_exists_in_source,metadata_status,metadata_conflicts,spin_orientation,spin_period_hr,periapsis_rm,v_inf_kms,v_inf_source,physical_snapshot_date,physical_output_type,physical_run_name,physical_particle_count,scenario_name
Ma_xp_A1850_n60_r12_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,A1850,n60,r12,v00,,90000,0.0014,132,3.152599249646037e+18,0,0.0,0.0,0.0,132,3.152599249646037e+18,1.0,1.7405336223306835e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r12_v00_90000.hdf5,True,False,mapped,,no_spin,,1.2,0.0,physical_snapshot_filename,18:58:31 2022-04-21 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1850_n60_r12_v00_90000
Ma_xp_A1850_n60_r12_v00_90000_fof_0.0019_0000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,A1850,n60,r12,v00,,90000,0.0019,135,3.1545883408634404e+18,0,0.0,0.0,0.0,135,3.1545883408634404e+18,1.0,1.740754282212171e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r12_v00_90000.hdf5,True,False,mapped,,no_spin,,1.2,0.0,physical_snapshot_filename,18:58:31 2022-04-21 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1850_n60_r12_v00_90000
Ma_xp_A1850_n60_r12_v00_90000_fof_0.0024_0000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,A1850,n60,r12,v00,,90000,0.0024,135,3.1552093408156257e+18,0,0.0,0.0,0.0,135,3.1552093408156257e+18,1.0,1.7408488507328083e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r12_v00_90000.hdf5,True,False,mapped,,no_spin,,1.2,0.0,physical_snapshot_filename,18:58:31 2022-04-21 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1850_n60_r12_v00_90000
Ma_xp_A1850_n60_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,A1850,n60,r12,v00,,90000,0.002,135,3.1547491073485245e+18,0,0.0,0.0,0.0,135,3.1547491073485245e+18,1.0,1.740754282212171e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r12_v00_90000.hdf5,True,False,mapped,,no_spin,,1.2,0.0,physical_snapshot_filename,18:58:31 2022-04-21 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1850_n60_r12_v00_90000
Ma_xp_A1850_n60_r16_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,A1850,n60,r16,v00,,90000,0.0014,61,3.1572204980234496e+18,0,0.0,0.0,0.0,61,3.1572204980234496e+18,1.0,6.633225174549916e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r16_v00_90000.hdf5,True,False,mapped,,no_spin,,1.6,0.0,physical_snapshot_filename,04:04:06 2022-04-25 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1850_n60_r16_v00_90000
Ma_xp_A1850_n60_r16_v00_90000_fof_0.0019_0000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,A1850,n60,r16,v00,,90000,0.0019,61,3.1580590055731005e+18,0,0.0,0.0,0.0,61,3.1580590055731005e+18,1.0,6.633319743070554e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r16_v00_90000.hdf5,True,False,mapped,,no_spin,,1.6,0.0,physical_snapshot_filename,04:04:06 2022-04-25 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1850_n60_r16_v00_90000
Ma_xp_A1850_n60_r16_v00_90000_fof_0.0024_0000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,A1850,n60,r16,v00,,90000,0.0024,61,3.1581724877978655e+18,0,0.0,0.0,0.0,61,3.1581724877978655e+18,1.0,6.633319743070554e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r16_v00_90000.hdf5,True,False,mapped,,no_spin,,1.6,0.0,physical_snapshot_filename,04:04:06 2022-04-25 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1850_n60_r16_v00_90000
Ma_xp_A1850_n60_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,A1850,n60,r16,v00,,90000,0.002,61,3.158099985265377e+18,0,0.0,0.0,0.0,61,3.158099985265377e+18,1.0,6.633319743070554e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1850_n60_r16_v00_90000.hdf5,True,False,mapped,,no_spin,,1.6,0.0,physical_snapshot_filename,04:04:06 2022-04-25 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1850_n60_r16_v00_90000
Ma_xp_A1900_n50_r12_v00_90000_fof_0.006_0000.hdf5,Ma_xp_A1900_n50_r12_v00_90000.hdf5,A1900,n50,r12,v00,,90000,0.006,47,9.977113779923413e+18,0,0.0,0.0,0.0,47,9.977113779923413e+18,1.0,9.545935737544728e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n50_r12_v00_90000.hdf5,True,False,mapped,,no_spin,,1.2,0.0,physical_snapshot_filename,22:56:43 2022-03-06 GMT,FullVolume,Untitled SWIFT simulation,108605,Ma_xp_A1900_n50_r12_v00_90000
Ma_xp_A1900_n50_r16_v00_90000_fof_0.006_0000.hdf5,Ma_xp_A1900_n50_r16_v00_90000.hdf5,A1900,n50,r16,v00,,90000,0.006,17,9.99018536020568e+18,0,0.0,0.0,0.0,17,9.99018536020568e+18,1.0,4.2099693830416394e+18,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n50_r16_v00_90000.hdf5,True,False,mapped,,no_spin,,1.6,0.0,physical_snapshot_filename,00:16:41 2022-03-07 GMT,FullVolume,Untitled SWIFT simulation,108605,Ma_xp_A1900_n50_r16_v00_90000
