fof_file,physical_file,matched_physical_file_found,readable,particle_count_match,nonfof_velocity_max_abs,nonfof_velocity_nonzero_count,status,error_message
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,True,True,True,976.0436369106174,1002827,success_no_fragments,
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0013_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,True,True,True,976.0436369106174,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,True,True,True,976.0436369106174,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0016_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,True,True,True,976.0436369106174,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1800_n60_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,True,True,True,976.0436369106174,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0001_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,True,True,True,928.1574748456478,1002827,success_no_fragments,
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0013_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,True,True,True,928.1574748456478,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,True,True,True,928.1574748456478,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0016_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,True,True,True,928.1574748456478,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1800_n60_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,True,True,True,928.1574748456478,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1850_n60_r12_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,True,True,True,1013.5398479178548,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
