physical_file,raw_hdf5_path,mass_code,resolution_code,periapsis_code,velocity_code,spin_code,timestep,fof_linking_length,target_mass_kg,bound_mass_kg,captured_mass_kg,f_bnd_parent,f_capt_parent,particle_count,bound_particle_count,captured_particle_count,mars_mass_kg,mars_hill_radius_m,method,unresolved_handling,notes
Ma_xp_A1900_s030z_n65_r12_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,s030z,90000,0.002,1.0023219999551066e+19,5.002898290588713e+18,4.403703224259839e+18,0.4991308472539553,0.43935015139417055,3162275,1578389,1389346,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_s030z_n65_r12_v04_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r12_v04_90000.hdf5,A1900,n65,r12,v04,s030z,90000,0.002,1.0023210490681661e+19,3.7282787215317883e+18,3.12550832030652e+18,0.37196452424079884,0.31182706610942973,3162272,1176253,986082,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_s030z_n65_r12_v06_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r12_v06_90000.hdf5,A1900,n65,r12,v06,s030z,90000,0.002,1.0023219999551066e+19,2.123178396293572e+18,1.6475605967560148e+18,0.21182597971397096,0.16437438236712434,3162275,669852,519797,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_s030z_n65_r12_v08_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r12_v08_90000.hdf5,A1900,n65,r12,v08,s030z,90000,0.002,1.00232231691742e+19,5.97020704858191e+17,3.2612569399366163e+17,0.059563744594083375,0.03253700815488584,3162276,188357,102891,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_s030z_n65_r12_v20_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r12_v20_90000.hdf5,A1900,n65,r12,v20,s030z,90000,0.002,1.00232231691742e+19,0.0,0.0,0.0,0.0,3162276,0,0,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_s030z_n65_r13_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r13_v00_90000.hdf5,A1900,n65,r13,v00,s030z,90000,0.002,1.002315343746523e+19,5.058306472613412e+18,4.389373358066048e+18,0.504662180836834,0.43792339261805047,3162254,1595870,1384825,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_s030z_n65_r15_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r15_v00_90000.hdf5,A1900,n65,r15,v00,s030z,90000,0.002,1.0023213660304796e+19,5.064354113555185e+18,4.342006509935101e+18,0.5052625121234005,0.43319504672746495,3162273,1597778,1369881,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_s030z_n65_r16_v00_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r16_v00_90000.hdf5,A1900,n65,r16,v00,s030z,90000,0.002,1.00232231691742e+19,5.092639830412825e+18,4.3562761532893245e+18,0.5080840508545117,0.43461829391235957,3162276,1606702,1374383,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_s030z_n65_r16_v02_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r16_v02_90000.hdf5,A1900,n65,r16,v02,s030z,90000,0.002,1.00232231691742e+19,4.678791646532108e+18,4.0869786324848845e+18,0.46679511845265914,0.40775093635090687,3162276,1476135,1289421,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
Ma_xp_A1900_s030z_n65_r16_v04_90000.hdf5,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_s030z_n65_r16_v04_90000.hdf5,A1900,n65,r16,v04,s030z,90000,0.002,1.00232231691742e+19,3.6571143429025034e+18,3.049976200997066e+18,0.36486410420848764,0.3042909600553521,3162276,1153801,962252,6.414e+23,1080000000.0,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Particle-level Mars-centric energy and apoapsis classification from raw SPH snapshot. FoF-group diagnostics are preserved from existing CSV outputs only because FoF HDF5 catalogues are not available locally.
